ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
1026.39,339.27,1399.71,63.67,90.3243,734.719,2832.02,2924.01,1373.72,1107.7,1953.67
185.71,65.41,180.59,113.51,88.0348,186.088,551.395,562.083,208.316,153.94,393.8
591.56,281.98,510.09,118.5,85.9744,120.03,876.481,1701.67,1467.39,1456.25,628.59
917.59,513.83,124.93,41.8,92.4501,151.611,1069.32,1703.33,1187.2,994,635.65
825.75,562.25,138.12,129.95,89.1054,127.729,1447.04,2173.93,1665.88,1792.38,1049.63
1056.61,252.61,259.96,243.24,91.7016,127.687,2063.1,2255.13,1115,921.6,740.43
530.54,478.21,189.8,44.17,88.9394,68.0485,266.637,1256.38,1181.47,1134.23,445.36
683.37,513.49,632.59,87.17,86.0527,106.942,1435.87,2169.96,1709.84,1651.87,758.86
544.94,323.38,571.88,278.72,92.2553,2315.34,3083.23,3397.72,1478.68,1476.58,1657.77
440.47,182.74,963.82,49.98,91.0535,116.172,4219.22,4400.38,1333.34,1235.32,1013.8
444.81,427.46,217,182.67,90.8347,115.446,436.554,1290.37,1386.15,1558.3,728.67
603.08,532.93,398.15,160.94,105.177,122.332,1611.53,1930.06,1259.31,1154.36,739.36
407.38,162.76,544.36,67.77,92.0984,122.88,1466.76,1476.48,615.748,577.3,1133.94
290.41,244.36,438.43,124.79,89.6969,126.506,933.794,1408.43,1100.75,1131.98,628.81
584.44,191.59,192.96,189.49,91.1743,116.114,1213.58,1278.17,568.248,417.37,382.45
586.86,579.44,700.17,50.5,93.4183,124.138,856.079,1996.33,1721.31,1600.55,1055.56
567.68,447.02,275.98,140.25,90.4308,106.773,1764.7,1911.08,794.46,585.76,536.42
159.1,37.58,301.07,61.43,86.1153,118.092,574.296,610.038,285.493,477.09,2961.31
732.26,343.44,722.47,301.12,91.5767,305.154,1732.69,2720.78,2216.75,2345.08,1323.48
676.93,400.84,316.7,82.98,90.7227,122.062,3113.48,3219.21,1407.39,2059.8,2515.73
521.43,432.79,158.36,111.88,89.3483,106.458,784.151,1390.36,1179.98,1179.67,270.24
668.99,76.83,502.32,56.42,87.5271,109.893,1220.53,1316.16,673.497,506.42,601.56
515.26,320.96,1336.94,41.3,81.2271,697.349,1907.54,2518.63,1794.99,1674.86,1529.25
