ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
422.02,153.68,388.21,169.42,90.6927,125.512,1008.64,1154.53,694.315,574.92,557.63
502.76,469.63,267.61,47.71,90.0602,117.185,820.245,1485.58,1409.01,1598.61,930.47
1305.83,594.21,230.45,109.59,90.3731,103.553,1795.51,2391.92,1711.39,1539.08,400.04
264.99,107.38,718.01,42.23,90.9095,130.933,1169.5,1567.75,1067.18,1051.8,893.23
403.07,125.45,779.5,86.79,88.3146,126.295,386.361,1423.41,1064.93,833.48,1615.53
150.75,40.36,343.7,104.55,90.9859,122.468,552.56,667.847,440.435,388,448.25
492.43,117.03,465.92,33.87,78.8612,87.7552,663.827,1171.44,1062.81,1094.02,684.69
506.49,238.38,338.13,86.13,98.4836,112.078,579.489,1271.01,1143.46,1146.02,424.26
395.09,332.13,441.23,109.74,93.594,121.454,895.31,1288.7,901.773,840.72,1253.94
405.46,106.65,369.14,50.29,84.8443,109.202,932.294,1138.79,864.17,974.23,1090.88
284.33,197.97,484.46,62.39,88.2421,96.9386,1076.47,1078.67,261.202,127.42,585.55
421.81,177.35,594.74,32.48,88.0777,118.517,1444.61,1530.45,653.75,494.99,627.22
141.83,28.58,319.39,199.15,105.943,116.469,772.427,1009.4,578.601,532.79,767.88
217.01,142.38,282.5,191.36,91.6922,119.794,838.488,904.902,448.933,349.5,473.86
631.71,316.14,197.42,188.98,90.767,83.4347,1156.59,1432.47,962.357,852.19,420.47
431.61,195.97,288.59,76.64,94.6344,118.652,1112.52,1225.84,559.554,417.6,569.47
265.14,190.2,270.8,206.61,91.6625,125.314,432.162,986.018,909.776,915.14,507.45
506.4,167.97,147.56,42.57,91.1324,97.6098,541.248,888.836,768.4,757.11,190.13
471.05,25.97,839.92,81.69,90.1657,125.254,1962.12,2140.11,820.788,641.16,1423.89
426.27,384.35,298.66,151.67,93.6968,120.533,869.371,1308.54,1042.79,973.41,450.33
311.44,141.87,311.51,124.62,90.8585,122.253,504.003,978.77,851.402,840.45,436.13
411.09,134.38,80.14,30.68,90.3104,105.842,400.547,664.141,639.297,730.87,847.62
352.71,102.66,252.11,243.2,91.5018,121.971,1425.88,1519.06,656.534,594.01,616.5
392.39,109.34,308.93,101.47,91.8918,109.057,988.276,1066.46,517.724,414.61,410.4
296.89,209.73,262.59,68.24,95.1858,116.667,1215.32,1230.19,253.478,133.73,454.65
569.29,284.4,254,133.6,92.1809,109.599,939.108,1278.72,931.538,828.63,491.82
205.77,150.89,231.03,226.04,94.0112,120.917,1105.09,1128.77,698.714,941.13,1598.95
195.79,69.58,240.29,235.07,92.774,121.076,647.003,920.578,595.541,604.79,1006.62
773.77,392.27,182.78,30.8,91.7255,114.12,1612.52,1996.44,1441.67,1633.15,1216.09
323.03,267.21,453.66,97.03,91.2727,100.849,907.776,1157.21,854.307,789.2,648.1
615.31,117.45,544.36,36.92,90.8538,560.646,1486.12,1506.66,422.501,237.09,660.15
674.75,270.71,425.24,39.93,90.9701,136.107,1320.37,1432.63,740.173,560.2,465.17
924.36,96.6,752.92,36.27,88.5264,372.045,1356.61,1898.16,1055.87,745.42,1473.48
608.1,71.14,268.42,107.94,92.6513,116.471,498.677,1089.13,964.086,920.53,419.41
382.35,241.27,503.85,30.11,93.601,113.458,1262.44,1315.44,550.196,399.63,533.96
209.52,116,731.42,645.41,91.5523,1575.13,1933.3,1953.61,309.334,249.6,1414.58
307.92,196.42,462.49,51.06,90.6214,83.2811,1471.88,1499.46,432.921,288.48,513.55
275.39,141.13,831.82,71.65,87.3515,534.078,2093.81,2309.56,1228.33,1807.81,2726.3
953.22,259.42,555.63,84.63,88.2399,126.923,3206.17,3308.24,832.034,562.61,1211.54
635.53,219.54,774.17,45.55,90.7672,107.464,1993.35,2002.37,436.969,205.05,819.72
333.87,56.35,295.2,246.65,93.4615,124.3,853.409,1080.59,703.959,630.36,573.2
324.29,212.54,104.07,45.16,89.9731,91.798,649.185,837.59,101.7,145.61,1049.88
297.41,96.05,268.59,78.89,87.6342,109.612,319.386,797.127,886.684,1128.54,1077.55
295.64,128.33,382.1,65.67,89.6948,113.925,1810.38,1986.6,822.587,811.47,447.77
248.85,123.93,331.78,175.2,95.071,120.572,1060.08,1071.57,400.194,384.97,924.54
251.45,202.94,374.2,95.37,88.1099,103.519,734.845,981.517,650.684,543.42,469.57
435.03,43.56,177.03,89.51,88.5354,98.6062,704.199,764.444,389.74,295.91,266.54
388.97,366.1,383.39,92.93,95.9924,116.988,1036.51,1388.96,1007.08,944.6,655.33
519.88,140.08,465.72,172.02,92.5837,125.72,1056.35,1391.71,979.833,877.49,690.5
379.51,242.73,382.87,189.26,89.9917,124.428,981.027,1291.08,921.346,834.9,572.13
375.51,75.44,506.27,87.72,89.7645,126.171,794.047,1176.89,942.962,936.73,681.27
202.33,103.14,98.4,50.15,91.7973,106.083,624.906,727.548,578.697,950.27,1004.44
615.95,138.15,181.96,123.41,92.6302,129.351,605.649,1069.92,1070.62,1201.21,657.13
293.61,148.54,777.35,48.66,93.0874,120.184,1453.52,1667.19,936.985,848.74,905.02
622.93,110.71,732.91,80.55,93.0031,126.156,1228.7,1571.74,1098.73,958.1,813.46
188.49,171.36,1106.49,51.6,91.1923,133.694,1206.35,1683.38,1256.04,1179.76,1158.09
533.28,292.82,1255.32,71.82,91.7665,201.2,2758.25,2804.04,787.123,466.59,1327.14
684.58,136.76,223.14,130.83,91.4527,128.037,1051.29,1208.64,693.422,543.49,432.13
529.91,53.38,289.04,91.49,90.1745,107.21,994.054,1027.86,431.344,305.81,443.86
974.02,186.39,130.06,53.56,90.2737,90.5962,1000.84,1663.68,1326.46,1327.74,300.01
435.46,46.76,432.79,70.12,90.6154,124.085,1016.25,1046.8,405.184,307.71,914.61
420.63,121.57,981.18,345.32,88.258,1279.98,2099.01,2146.08,732.514,551.43,1441.04
288,113.42,207.65,151,86.2957,90.5364,717.623,1017.78,925.053,1189.24,894.05
276.5,217.49,438.06,189.97,83.8748,120.923,797.979,1224.17,980.611,945.6,628.03
1214.31,144.96,132.48,50.96,95.869,117.329,537.291,1614.46,1528.96,1535,183.44
145.36,137.57,315.32,39.29,92.7068,117.973,632.117,660.447,436.644,496.84,753.58
387.99,307.88,365.93,127.38,94.2163,98.3233,1148.61,1194.92,487.195,315.63,493.31
410.69,179.71,102.09,43.17,87.4199,113.019,433.969,800.979,679.25,672.38,272.27
564.7,1.01,164.75,58.39,102.292,53.5792,1174.08,1230.22,590.416,631.63,807.8
318.46,306.47,313.59,151.32,90.0273,126.366,568.224,1106.64,973.811,1065.87,1213
223.57,182.43,187.05,84.36,90.1747,76.0787,344.061,715.393,532.785,503.1,677.76
554.23,76.85,763.63,75.03,90.1327,119.191,851.33,1505.9,1134.09,951.92,1120.83
278.6,127.39,347.43,161.31,90.8779,117.087,512.818,939.885,811.469,780.13,605.66
322,243,270.98,101.93,90.5567,124.78,1652.95,1673.03,407.567,285.84,417.7
444.32,327.4,167.79,118.53,87.7581,114.429,859.924,1099.04,774.291,693.77,286.32
1087.48,75.32,174.08,114.52,91.969,131.87,1179.02,1639.79,1123.15,1000.05,441.55
157.02,64.49,270.35,39.6,90.8747,115.234,304.113,587.151,504.299,493.23,309.95
873.62,8.66,1044.12,46.06,85.107,112.96,2517.51,2526.19,652.231,404.33,1512.42
227.06,104.95,379.03,259.61,104.17,477.936,1180.44,1295.88,794.56,862.61,1230.77
481.08,139.46,441.82,47.38,91.246,117.284,385.455,1169.8,979.135,879.65,843.96
563.69,57.6,330.83,247.84,95.3768,124.545,1875.51,1886.42,589.011,502.2,999.37
396.51,128.11,178.91,115.6,88.7403,109.305,678.833,1057.18,855.392,951.85,967.56
520.98,127.22,540.37,42.5,90.1917,119.4,684.469,1278.01,1182.21,1211.26,706.48
649.52,206.6,149.23,119.53,86.5567,113.98,1199.71,1594.46,1080.01,1076.78,268.76
507.42,201.89,537.9,121.86,89.4706,124.55,1812.04,2036.11,1054.89,971.52,701.15
178.02,144.72,220.81,101.38,89.5094,107.364,730.217,740.162,126.563,50.19,492.52
322.5,302.21,130.94,48.61,95.3879,98.7673,643.913,956.352,716.993,685.5,223.12
344.55,259.27,513.14,31.66,78.1282,97.7475,1008.59,1445.7,791.023,587.5,1091.8
263.51,197.79,454.8,76.21,88.3079,372.01,994.828,1055.85,463.784,359.53,531.01
685.86,464.52,1010.22,30.34,90.0146,117.154,3275.22,3311.2,776.98,451.58,1040.56
398.97,173.74,263.54,101.34,92.811,119.638,839.692,1197.36,404.637,188.19,1115.5
518.72,462.42,1070.13,44.17,89.6584,126.716,1875.11,2109.56,1416.41,1335.94,1651.38
436.12,82.28,394.26,81.13,93.4197,113.374,931.778,1051.92,550.833,412.03,552.14
491.47,293.48,688.83,126.29,111.413,209.894,1198.2,1625.68,1179.45,1040.32,958.41
201.51,37.85,502.33,149.25,93.4133,124.766,791.647,1167.28,864.124,867.08,651.58
262.7,217.65,485.6,57.11,90.2565,112.13,1130.38,1132.48,202.232,86.25,752.25
