ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
427.8,406.25,302.99,116.46,90.7412,109.971,1547.5,1924.93,825.618,580.62,1109.08
647.55,105.06,223.75,90.11,91.1639,103.635,322.021,1092.59,1029.25,1011.08,469.18
859.82,462.58,436.22,73.26,90.3398,110.956,2077.74,2298.29,1183.64,998.29,546.64
362.03,46.27,239.5,49.21,89.9894,1288.93,2877.47,2941.64,848.795,1173.78,1117.56
242.13,118.16,113.51,67.78,90.4085,68.1452,360.263,570.601,455.337,431.17,181.29
290.81,244.29,191.4,120.08,88.4252,122.296,684.561,920.083,669.965,629.8,489.03
420.12,127.6,431.43,68.65,89.8656,99.3764,1093.46,1505.54,903.813,800.34,797.08
827.71,812.76,213.64,67.91,92.0942,111.873,867.498,2023.91,1500.86,1242.01,1055.88
151.66,10.22,409.49,56.3,94.799,93.5293,646.955,780.992,306.634,549.75,1460.36
249.95,188,141.66,98.45,85.2296,98.8099,522.395,842.712,666.896,673.95,310.51
282.43,127.48,474.52,298.03,92.5676,177.851,1513.63,1885.36,1286.05,1436.47,1116.57
361.13,135.41,343.97,51.12,89.5424,86.1763,913.799,921.086,215.551,94.95,436.5
688.53,88.79,101.51,60.12,86.164,87.3561,801.476,1128.02,841.61,827.36,328.38
956.15,374.2,557.2,124.94,91.4495,357.243,2087.85,2219.89,1000.87,752.1,741.33
563.63,224.85,430.17,122.69,89.7026,124.033,1447.54,1468.34,449.233,256.61,552.86
328.31,0.57,307.24,98.76,13.3509,131.645,1085.1,1106.92,669.686,1218.03,551.4
278.09,245.2,574.71,74.95,92.1018,119.483,1190.94,1208.08,418.384,257.87,742.86
851.69,389.18,402.89,112.29,92.825,105.358,1853.09,2080.89,1172.1,1020.4,594.44
951.59,286.02,944.89,141.09,89.253,238.939,2400.67,2409.75,325.762,97.26,1428.09
775.78,486.16,233.06,167.74,80.478,109.211,1681.18,2042.96,1190.48,1007.84,582.19
360.28,20.96,83.04,37.51,84.5063,116.207,1517.05,1555.58,361.23,339.28,120.55
646.08,491.76,173.55,115.91,91.9066,108.368,1146.68,1470.47,1060.07,960.4,343.09
546.66,382.6,385.84,182.64,87.7396,110.474,1875.71,2039.35,1206.12,1273.44,853.32
571.21,315.38,814.43,38.86,90.8858,109.002,1740.43,1748,394.044,163.79,853.29
310.62,129.21,153.92,37.53,87.5377,64.8141,324.564,661.248,591.699,582.22,191.45
222.93,99.85,148.73,55.79,87.181,72.9226,551.551,567.676,208.474,133.74,265.92
137.06,69.82,139.21,94.26,86.0948,82.084,402.107,529.794,393.215,399.26,233.47
275.25,138.43,273.53,64.78,89.1158,75.7084,1202.16,1251.12,419.633,324.32,391.17
548.54,450.83,324.81,44.41,92.0583,107.741,1102.96,1374.07,943.327,820.54,405.97
430.47,234.21,113.65,65.63,89.4473,104.346,509.266,856.003,649.441,561.95,314.49
100.07,1.07,119.26,60.09,25.4319,86.4278,265.085,377.119,508.141,966.32,436.38
212.43,84.81,95.35,76.08,88.4487,96.4625,500.387,526.799,254.578,233.97,428.83
538.1,297.95,142.01,87.39,91.2483,116.121,862.867,1328.38,1063.93,1107.6,308.92
535.54,249.45,353.18,245.27,91.3484,130.253,1097.48,1401.9,1159.23,1194.15,959.36
444.25,329.34,373.92,91.06,78.515,99.3758,941.272,1277.11,864.764,717.91,642.27
637.31,474.18,145.46,139.25,91.5324,120.434,593.159,1411.01,1190.23,1087.13,1358.17
707.52,263.88,949,30.1,88.6916,90.3679,1935.52,2015.98,840.931,564.52,1099.9
306.09,125.41,271.93,46.13,74.5764,121.67,718.404,910.485,601.021,559.63,353.63
514.27,37.61,514.99,87.46,94.4214,114.271,1160.15,1166.48,561.803,554.35,2546.32
618.84,257.23,1479.68,31.49,92.0095,177.578,3316.8,3437.02,1258.36,965.07,1592.95
875.12,47.95,211.76,154.38,90.0437,115.831,791.679,1365.42,1146.25,1097.97,448.08
301.81,209.19,234.5,115.41,91.9368,110.87,1872.75,1994.11,637.656,543.07,532.34
532.38,300.58,451.17,89.73,75.9713,120.079,1302.68,1399.91,681.6,493.54,664.15
176.88,46.39,540.82,43.82,88.7552,117.044,548.198,900.282,729.413,703.77,584.64
248.03,4.46,2341.66,1308.47,7.03576,3853.85,4145.08,4353.76,1362.83,1244.85,4010.94
202.64,167,187.27,148.9,92.4508,123.098,1617.29,1622.15,241.469,143.31,336.17
301.25,218.13,424.71,186.94,91.5434,123.704,630.263,1236.75,1074.54,1057.48,663.73
414.57,75.88,638.95,40.66,80.2225,125.871,1166.89,1182.2,570.528,511.95,1588.77
1357.07,732.29,254.24,127.54,90.6171,124.677,1871.7,2589.12,2064.68,2004.96,932.45
165.85,93.69,387.43,105.24,95.5301,122.279,513.484,809.139,531.305,418.05,794.84
409.23,33.02,452.04,63.41,95.4695,108.974,1449.23,1457.35,228.04,95.44,550.33
733.5,152.44,367.99,99.47,91.6001,96.7494,1434.36,1495.72,466.308,450.55,590.1
335,33.87,212.39,69,93.7113,66.4172,531.663,718.924,607.386,661.52,539.31
160.07,150.21,769.73,62.9,92.7456,185.959,4405.5,4541.02,864.919,723.61,2090.77
519.27,432.69,286.64,76.28,88.9065,118.466,1045.95,1344.53,700.141,534.12,1027.79
380.58,109.61,371.15,66.16,92.3847,123.06,1270.62,1284.08,670.07,827.04,1230.92
674.28,124.98,224.61,37.74,93.0494,65.6989,895.822,1316.02,1025.05,1040.52,370.8
353.95,92.44,246.98,39.34,90.3428,115.327,529.259,858.051,834.395,1035.32,706.77
467.45,100.07,283.35,42.66,114.829,76.4104,1242.08,1492.26,660.993,526.57,836.87
314.86,138.81,465.44,99.4,88.4859,122.434,1080.63,1207.99,626.913,510.44,564.84
294.28,260.66,447.65,169.92,91.2261,126.694,1131.14,1286.25,739.934,616.35,617.57
725.08,343.64,141.61,69.55,90.2652,89.1822,2105.58,2283.07,728.322,494.57,583.69
462.44,257.05,185.73,169.05,92.5702,99.1636,584.024,1093.42,955.77,915.6,354.78
149.85,36.3,298.19,268.16,96.3811,119.452,1479.51,1568.23,557.487,496.23,566.35
807.01,358.07,353.77,157.56,93.7599,146.128,1679.13,1826.51,972.027,795.24,676.48
572.72,71.03,618.12,84.68,91.6257,128.011,1027.32,1356.5,997.859,896.24,702.8
125.83,122.25,305.99,170.77,89.9046,111.126,571.996,830.226,639.206,617.91,476.76
231.31,213.99,527.13,58.07,84.692,119.79,1013.91,1181.82,696.34,599.09,664.03
175.06,148.22,631.2,43.55,57.7061,119.528,728.295,1035.93,589.395,403.18,987.66
359.44,86.32,355.61,132.18,102.57,108.435,942.317,946.778,155.23,52.92,582.09
770.37,156.55,251.07,106.97,88.9779,114.536,1031.24,1291.11,963.15,908.16,358.04
623.37,529.26,109.23,67.86,85.4907,54.9034,3760.08,3911.11,1097.93,1011.57,394.3
1099.88,836.56,706.56,36.9,94.7907,122.931,2834.59,3078.53,1405.76,1021.96,1099.56
219.57,32.09,125.47,59.29,107.414,77.5787,274.819,487.276,432.357,467.48,596.16
209.38,14.36,173.68,165.08,30.1843,93.4322,367.837,603.841,540.67,568.24,380.54
406.37,169.85,484.61,98.41,91.0158,119.89,1132.07,1249.6,791.018,761.12,1100.77
178.32,134.28,456.41,31.97,92.696,120.476,1073.26,1086.73,316.244,208.62,546.63
145.86,39.79,638.03,63.49,89.486,120.232,1229.65,1380.97,519.548,364.27,952.22
458.13,146.38,446.09,94.42,93.1021,124.209,1301.32,1572.55,997.487,987.92,685.39
320.68,24.77,402.04,176.31,92.3774,131.305,890.747,996.361,631.923,592.69,872.46
332.99,48.61,738.65,73.43,92.0621,126.059,1243.35,1505.44,923.545,840.03,871.46
715.48,255.02,375.05,306.9,91.8853,211.731,1693.94,1749.72,645.888,406.52,795.3
403.23,27.37,177.96,31.98,91.4202,97.9482,606.27,698.812,308.312,334.43,732.72
355.91,183.78,278.36,173.91,91.3132,119.722,1265.9,1585.16,1051.53,1147.27,944.69
452.61,53.71,133.71,92.81,88.4319,110.939,862.576,981.184,509.594,439.43,226.52
455.93,157.88,166.91,156.09,90.3486,126.511,815.269,1219.16,1045.97,1207.21,628.22
320.08,299.07,377.79,217.93,91.9048,122.322,1151.76,1249.54,654.839,511.79,698.1
279.76,89.66,464.19,72.63,88.0526,100.624,424.337,924.219,805.955,766.9,730.32
200.05,192.43,386.84,45.92,87.5283,105.877,973.123,1047.53,356.803,213.31,689.09
300.08,184.52,805.32,31.84,96.3761,121.415,891.724,1402.77,752.391,498.8,1572.63
212.72,205.94,87.36,71.79,84.4198,79.9378,406.121,674.23,605.762,662.62,324.85
212.27,149.53,357.75,161.62,102.611,102.829,474.721,978.087,862.686,861.57,519.37
522.21,471.5,55.89,48.32,90.947,68.4815,890.767,1276.36,867.484,756.06,717.57
430.33,356.11,213.03,43.04,79.5888,106.606,730.42,1064.4,910.873,916.84,256.07
324.84,182.54,339.67,130.14,89.8472,126.463,583.674,981.057,836.66,803.95,508.68
206.66,165.83,123.51,45.78,86.9225,195.731,682.232,828.92,470.25,475.54,312.22
297.17,258.71,620.2,44.2,71.4636,120.094,1205.19,1225.8,320.061,168.22,800.79
401.91,168.92,260.55,74.58,91.3336,86.087,456.512,1004.59,924.784,954.09,335.13
446.15,145.95,546.96,45.65,90.5853,110.547,1123.31,1199.71,547.791,376.79,676.05
386.44,323.92,1448.42,114.76,94.0188,879.013,2870.25,3045.77,1319,1072.16,1923.92
742,153.33,71.58,36.94,90.5657,109.643,1945.48,2162.69,970.999,998.49,108.52
533.65,384.67,1425.92,30.5,91.3225,1322.04,2948.17,2987.44,725.199,379.31,1576.24
218.93,44.74,396.16,49.31,84.7809,107.783,1000.78,1105.88,520.341,468.96,445.47
188.32,25.29,431.93,125.5,90.7933,551.557,1186.77,1212.78,515.435,630.18,1306.33
652.91,275.76,374.55,116.21,90.6502,111.746,1669.7,1852.83,943.159,801.15,490.76
783.5,157.15,332.8,94.25,93.5355,110.539,784.731,1385.22,1255.91,1263.05,714.01
399.87,246.08,582.87,44.92,85.7709,104.176,1262.4,1448.88,844.499,720.88,627.79
624.41,219.74,154.83,87.87,89.793,121.004,1505.49,1728.05,797.527,660.96,480.24
325.21,215.74,182.95,118.4,95.2755,102.763,643.014,943.937,814.629,877.9,552.26
