ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
1730.87,232.62,859.82,30.23,91.7685,598.858,2252.96,3071.85,2492.3,2515.59,1392.97
202.24,81.98,465.39,63.97,91.2432,121.791,739.867,899.518,1002.24,1650.67,1824.84
255.95,171.33,103.36,88.55,90.7627,78.3959,1943.13,2026.42,605.158,621.25,331.29
343.45,324.9,1035.22,184.23,88.4711,569.585,1557.06,2039.37,1359.75,1189.41,1395.69
891.77,557.06,619.45,66.19,82.7363,115.069,1820.9,2547.54,1651.08,1405.9,1441.18
630.87,377.93,597.53,54.13,93.0184,99.3623,2381.91,2410.44,725.379,536.87,1054.13
372.48,270.94,416.94,123.72,90.7038,120.066,1163.62,1255.62,582.337,414.04,584.5
768.34,406.12,363.56,100.58,91.5248,118.887,1649.07,2158.86,1453.37,1396.95,464.14
804.41,230.79,460.39,63.99,86.1437,112.939,1632.53,1710.74,350.186,170.57,1234.59
489.55,383.8,252.18,220.67,87.5222,125.622,1348.71,1578.95,941.596,821.74,557.02
371.95,340.05,124.33,44.15,93.9108,109.429,1012.01,1156.98,624.828,543.08,168.48
1203.07,783.87,265.03,71.24,92.2048,109.192,2281.23,2826.28,931.707,499.69,2782.71
463.71,291.76,749.83,32.15,91.3058,115.373,975.629,1554.85,1321.61,1272.22,829.98
1043.26,503.05,297.3,266.09,93.2161,122.379,746.741,2141.74,1982.17,1975.55,1264.4
606.84,238.17,886.42,161.31,93.882,1002.72,2506.19,2568.61,731.832,448.53,1305.65
901.95,625.01,764.76,53.78,89.4585,119.667,1574.54,2382.01,1917.57,1781.93,818.54
471.26,94.95,983.27,50.42,84.8686,124.168,1467.05,2145.24,1930.92,2385.64,2000.8
1334.49,546.99,324.39,133.11,91.8766,128.129,1489.92,2664.67,2248.25,2223,457.5
795.93,324.94,196.03,169.53,93.1358,77.7278,1266.08,1616.32,1073.67,1044.17,1082.54
504.94,173.68,316.76,93.71,89.6807,120.828,1075.08,1107.98,362.168,201.17,564.15
645.03,52.68,754.07,43.36,90.4471,106.484,1071.81,1694.21,1454.3,1565.61,1525.66
887.75,568.19,427.21,143.43,86.6398,113.696,5862.01,5947.98,1211.86,970.33,570.64
2356.15,636.33,44.52,41.43,91.7769,33.5336,775.188,3136.5,2477.17,2009.29,1333.17
1400.39,578.85,1536.74,1474.07,89.6607,2879.35,5723.41,5771.78,1282.74,737.3,3090.88
535.06,392.9,755.59,150.66,91.4556,2419.73,4330.95,4632.45,1647.29,1648.26,906.25
451,362.83,565.48,59.06,90.6662,119.392,1038.21,1751.35,1410.37,1397.46,624.54
1267.81,209.11,359.48,39.56,88.1697,123.279,2251.03,2520.47,1309.61,1143.85,482.04
100.95,3.8,332.99,148,89.4707,120.789,1782.31,1873.35,649.521,803.48,945.52
742.21,90.85,1141.28,40.52,92.5767,1337.29,2228.81,2613.18,1494.37,1331.11,1296.5
425.63,150.47,458.73,116.36,79.7754,121.719,1733.72,1762.53,590.168,486.38,751.08
536.58,280.66,407.47,70.29,91.4109,105.895,1187.97,1542.66,974.367,840.24,695.73
833.3,460.27,335.62,60.78,90.2358,101.373,1348.03,2126,1675.69,1689.32,685.91
222.94,64.68,384.77,86.02,90.6617,122.694,735.83,795.866,530.582,570.32,896.22
817.66,89.1,833.71,53.19,93.2698,113.1,1357.85,2133.42,1685.43,1655.68,886.9
881.1,586.73,81.36,48.52,92.5775,53.165,1168.47,1778.56,1395.55,1330.12,214.43
811,569.77,577.31,30.02,84.7761,120.086,2071.66,2850.2,1877.75,1791.35,819.71
375.73,43.85,779.93,121.05,50.8151,658.92,1368.9,1396.74,430.799,280.57,1096.83
1087.03,200.89,372.08,33.64,89.901,125.523,2060.46,2298.01,1196.87,1061.38,607.81
455.29,186.94,489.61,163.58,105.596,580.576,1499.88,1545.29,490.293,291.68,698.58
1126.44,259.56,385.64,122.95,90.0066,106.816,1909.51,2679.11,1759.4,1651.68,1332.5
437.5,336.28,783.19,64.11,92.7203,447.366,1698.44,1850.65,1000.71,913.73,1252.94
1312.46,394.4,77.47,57.45,88.0251,714.229,2069.56,2658.34,1397.57,1147.26,792.88
1676.67,291.37,174.04,59.32,93.3372,101.476,764.276,2326.42,2145.64,2094.11,556.33
835.53,739.97,389.93,103.54,92.3979,93.7132,1033.18,2080.63,1760.62,1604.02,744.67
850.75,208.66,797,764.52,84.8285,390.998,2583.58,2695.85,1303.38,1058.53,2109.16
965.46,132.38,880.17,57.81,90.3532,128.651,2790.24,2955,1219.87,989.8,937.98
593.32,332.42,623.75,61.69,93.852,108.359,1729.93,2358.32,1383.13,1195.33,1106.58
360.46,160,283.97,194.5,89.8508,118.605,1172.69,1504.24,798.842,662.99,763.19
