nn  2  3     0.0    0.0    1.0 -601.6  601.7  0.000 0.791E-01 0.767E-03 0.101     0.608E-03 1.2780 0.792E-01 0.101    

    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
