ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
229.52,111.59,81.91,43.61,90.4185,63.2492,690.338,725.37,505.016,872.15,878.3
188.11,86.06,129.09,104.37,89.1771,87.1946,547.115,576.083,170.476,130.09,473.44
170.51,62.62,142.18,66.72,88.8907,96.6767,529.009,618.378,510.064,689.34,593.09
100.79,16.46,271.13,150.67,89.3617,108.731,364.353,608.562,527.249,557.01,586.46
168.59,104.73,130.36,79.35,90.0078,96.9815,815.412,824.437,525.115,938.78,986.93
245.21,53.83,254.17,169.32,94.5091,111.399,723.163,757.018,382.645,313.73,494.38
192.19,168.93,215.11,136.95,88.7935,111.469,651.126,724.816,460.895,448.03,621.31
141.21,50.2,194.33,174.24,92.8482,124.277,532.23,694.363,453.539,422.78,422.71
250.98,173.92,82.57,31.4,91.8226,82.5559,437.864,574.788,496.386,586.84,835.54
354.17,117.41,293.5,50.05,90.2262,138.232,831.42,907.207,470.139,385.56,383.05
151.29,78.27,249.16,42.81,92.3908,123.749,576.806,580.423,337.543,406.18,718.67
270.12,110.19,320.16,118,91.6525,130.007,774.494,837.997,503.525,602.49,1556.35
262.42,79.58,228.37,100.63,88.1369,172.36,522.78,704.965,559.051,558.26,391.88
196.49,41.61,362.5,59.16,90.3101,102.32,633.477,679.641,223.327,214.34,918.78
179.97,89.51,944.1,66.25,91.1686,432.444,1129.32,1315.76,819.508,715.21,1010.35
331.71,228.04,249.85,87.36,89.8746,142.891,874.392,912.379,450.668,422.9,902.86
286.88,106.18,92.97,42.37,87.4918,113.67,423.831,573.688,343.41,321.5,416.57
137.12,40.27,213.03,104.09,93.1963,102.571,692.592,752.198,343.827,307.4,317.12
289.76,89.69,330.83,43.96,93.3344,116.011,1010.88,1037.69,338.072,234.94,374.79
162.91,69.13,231.45,74.5,91.8484,110.349,652.916,667.337,221.635,150.24,393.22
190.76,29.6,288.69,40.26,83.1255,183.784,1209.03,1254.64,278.964,814.46,1691.53
211.82,211.64,63.32,49.27,91.438,111.321,349.841,566.883,419.129,385.81,165.29
608.92,110.21,352.53,164.12,90.8568,118.971,1217.89,1258.65,590.764,455.92,743.11
147.56,91.3,273.58,73.66,91.6625,122.509,663.585,688.325,241.197,155.78,347.24
198.1,129.36,234.64,120.86,91.8579,116.057,681.869,759.731,395.124,308.37,355.5
269.73,46.17,151.85,77.69,81.8017,121.538,575.34,582.5,240.763,183.66,324.12
145.96,62.29,123.53,80.02,85.1875,107.38,565.958,590.807,279.057,380.31,627.29
205.06,87.83,184.86,114.28,97.4734,117.369,608.889,611.922,173.614,96.45,379.12
176.48,5.1,133.42,61.19,89.9051,175.586,432.354,485.542,406.711,710.37,963.9
119.74,8.45,302.06,113.36,77.1566,119.836,447.733,594.2,380.912,318.2,476.03
129.83,61.85,117.64,63.66,91.2345,102.22,292.432,381.084,220.755,172.19,217.33
211.52,22.42,421.84,44.74,91.0745,117.377,683.719,743.758,591,713.65,1417.68
129.25,30.6,99.01,89.66,85.9124,94.0513,197.059,375.472,397.341,504.79,188.67
249.69,225.59,329.16,137.15,92.6429,120.954,834.061,956.37,387.784,544.96,1680.29
206.57,119.54,66.62,41.44,92.4311,103.507,334.522,483.594,390.656,419.53,228.78
186.82,69.06,226.7,61.56,88.8054,119.322,548.286,566.15,282.973,242.88,427.69
127.53,125.98,177.15,38.11,90.9068,115.927,427.027,482.001,200.186,370.26,956.94
442.36,57.99,197,138.17,74.3227,103.831,847.963,901.361,374.887,250.86,454.08
206.2,126.77,149.28,132.92,107.655,122.625,482.465,637.876,430.031,366.69,351.53
222.48,79.45,85.28,61.35,89.0791,101.966,568.346,611.714,733.906,2133.58,2203.92
214.99,70.12,122.08,103.37,90.8083,112.647,515.635,525.163,190.804,126.38,225.45
242.39,75.33,158.43,40.6,91.0447,110.619,547.375,564.227,207.549,135.75,199.03
145.98,11.85,318.28,31.04,96.1562,89.5312,833.237,940.41,194.919,993.17,1788.37
345.27,147.55,142.34,36.04,88.9796,54.4428,755.058,860.381,698.741,1173.89,1519
239.42,182.84,231.16,205,92.0345,108.514,1010.71,1010.74,459.289,499.4,954.6
129.16,117.33,66.52,62.14,89.5801,120.907,339.937,402.057,367.299,514.38,267.96
171.59,103.22,286.26,121.53,90.4778,127.62,726.822,788.526,658.524,913.45,1260.33
249.9,17.53,151.98,125.83,90.4237,122.421,838.27,884.778,301.681,230.05,384.23
109.15,28.34,106.7,42.94,91.8087,44.0781,390.809,476.005,266.677,315.23,465.72
117.95,70.03,63.36,47.19,97.2318,102.118,491.476,524.343,141.89,103.48,208.94
186.14,113.13,628.65,117.4,89.8149,367.913,809.987,1058.25,796.062,780.17,1220.68
110.77,43.13,208.33,90.04,92.1888,150.131,477.6,516.977,306.694,489.39,815.94
184.88,89.19,158.5,68.07,82.4175,110.865,460.284,529.565,366.555,574.83,858.86
199.59,93.51,236.13,190.39,92.8956,128.005,711.424,738.894,293.369,192.38,426.52
151.03,121.94,604.55,30.94,91.4961,115.598,819.024,965.64,599.362,507.75,667.68
270.38,60.23,180.43,34.75,93.5367,92.9862,708.505,778.961,266.355,609.61,1885.92
