ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
1205.54,89.95,1044.78,351.87,76.5539,1378.12,3333.22,3394.67,831.589,523.73,1511.44
704.44,457.04,1346.42,43.17,92.1001,123.325,2834.24,2849.46,644.667,292.8,1389.59
889.28,275.01,569.06,35.84,81.8424,103.907,2866.72,3039.19,1176.25,1000.01,681.79
591.42,384.97,904.67,46.04,86.4646,125.794,1197.53,1983.94,1644.25,1543.34,1014.12
1197.34,1145.93,508.48,165.79,91.4187,126.871,1854.64,3033.89,2556.78,2412.98,674.27
500.73,40.79,1475.4,47.59,93.4321,424.842,1726.58,2267.77,1612.11,1478.67,1522.99
1286.2,394.96,780.75,43.95,89.716,108.525,1604.48,2609.11,2409.99,2647.3,2288.76
895.85,296.63,429.44,66.48,92.6772,108.955,2375.01,2479.04,811.565,550.2,655.05
346.18,251.62,461.04,147.18,88.1757,123.183,882.979,1221.12,937.464,870.2,813.32
595.64,104.13,917.27,31.9,87.9695,108.319,3065.86,3077.86,454.642,215.4,1048.76
1752.42,346.34,287.13,261.45,90.3799,112.989,1243.97,2702.84,2425.57,2335.15,894.66
551.07,113.58,198.33,38.61,90.931,53.8717,638.765,908.203,682.196,614.99,449.1
1592.85,230.75,161.21,74.64,90.7762,121.159,1857.54,2470.29,919.625,690.78,2717.93
873.34,223.14,984.38,83.23,87.0746,788.553,1555.62,2334.68,1814.4,1738.17,1116.53
760.97,469.3,582.84,31.84,82.6898,116.957,2423.87,2999.47,1818.49,1833.44,657.66
1318.78,394.82,247.54,115.07,93.3287,114.377,949.94,2126.65,1274.34,818.26,1683.14
697.86,169.78,1229.24,37.7,90.5921,187.863,1712.86,2587.14,1998.36,1965.7,1357.87
1924.58,692.42,824.82,51.17,89.9393,120.011,2737.86,3582.79,2619.94,2366.94,1019.3
806.59,382.11,859.4,46.65,90.5771,115.349,1568.42,2146,1601.74,1445.71,989.21
1043.7,724.74,192.98,122.5,91.0893,119.597,1280.15,2092.63,1801.76,1745.99,398.47
592.23,563.62,185.62,85.68,89.1405,114.208,561.428,1519.98,1430.16,1447.96,303.1
247.08,147.64,489.47,59.05,93.0547,127.812,607.238,1076.48,572.103,359.32,1182.42
103.35,94.34,107.81,69.24,95.2772,94.272,1615.78,1647.26,320.644,340.29,666.65
652.35,359.59,589.47,94.66,90.4449,122.765,2530.54,2576.04,805.796,599.2,835.14
100.35,34.9,358.88,140.58,86.0517,102.965,585.355,815.084,580.683,568.49,499.46
457.07,263.24,571.88,49.31,88.1098,110.405,1318.68,1364.76,318.018,120.5,848.91
823.42,253.81,861.73,46.25,92.5865,118.199,1920.25,2085.73,1056.45,799.63,907.98
621.07,528.06,291.13,35.55,108.42,104.13,1744.95,1999.04,1106.55,1001.56,326.68
210.78,62.19,768.17,114.17,87.1723,1736.23,2902.22,3097.34,644.236,428.28,1698.78
859.72,318.07,269.45,136.29,91.1396,130.457,1156.86,1714.99,1309.03,1286.55,779.95
956.97,218.87,445.81,74.63,89.3299,93.3313,2225.57,2545.2,1349.84,1243.65,520.44
661.75,289.88,537.75,30.54,92.7226,115.994,1597.89,1645.23,633.245,436.51,916.57
