ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
145.15,63.86,68.94,68.9,88.3006,118.289,311.946,376.406,260.355,290.81,560.7
171.62,25.18,102.86,51.35,90.3336,108.476,395.314,404.9,133.953,92.2,185.8
142.32,67,187.69,70.25,90.0793,108.283,510.175,517.378,137.898,72.59,257.94
304.01,30.3,102.56,90.7,86.8762,98.4506,666.825,682.376,137.41,58.57,372.92
293.53,82.7,213.17,181.39,91.3146,127.037,1156.74,1156.89,387.296,404.71,970.8
137.83,16.06,66,40.66,85.0508,87.8501,254.924,297.112,232.777,304.11,322.15
131.18,81.31,69.77,31.33,94.466,102.504,403.785,465.959,245.929,242.93,101.1
153.05,91.23,251.3,115.75,92.3118,117.805,581.132,621.868,291.897,211.35,367.05
243.25,6.96,157.81,52.29,84.9915,70.4207,488.607,491.079,283.949,405.62,648.72
148.44,43.04,88.74,34.18,82.6687,99.7214,323.478,342.453,156.637,127.69,122.92
287.44,139.2,360.47,223.35,91.537,186.572,977.292,1027.23,478.358,354.06,620.65
129.87,22.73,170.4,73.02,91.9632,115.121,627.048,632.418,254.904,317.48,660.61
173.97,136.38,194.36,34.94,91.3313,74.892,694.568,712.276,248.341,182.16,390.61
171.66,42.28,109.14,47.03,92.3199,111.897,457.82,475.901,182.738,140.72,156.17
153.35,16.94,86.29,74.71,95.3499,69.4453,343.035,359.318,263.187,392.01,527.85
268.85,85.88,117.27,64.94,90.4471,115.759,654.76,687.792,323.051,287.36,991.81
196.34,25,68.08,51.31,90.2004,120.59,317.031,367.987,208.836,204.27,119.39
142.22,14.91,160.43,57.08,92.7973,126.745,397.783,430.469,105.936,78.12,397.36
274.09,90.18,353.5,88.67,92.1938,108.235,939.758,947.378,376.75,422.83,1051.24
178.27,142.19,138.34,78.98,80.8953,119.903,590.828,600.24,201.087,126.78,256.11
217.34,54.57,379.53,136.9,90.716,479.011,779.742,899.014,198.796,201.95,1491.28
275.24,160.65,344.2,109.33,92.0294,120.256,907.742,908.504,564.503,726.01,1198.61
100.79,7.02,82.47,54.33,90.3474,106.211,261.185,284.116,136.255,118.12,136.8
160.83,137.07,229.49,52.09,91.0899,108.386,572.86,597.042,454.308,724.26,1260.49
255.26,153.22,244.11,67.48,89.7035,123.462,782.397,809.435,315.889,218.68,311.59
225.68,48.64,133.45,82.69,86.5686,96.8867,468.573,501.808,333.723,348.22,421
149.87,28.63,160.45,31,92.0034,116.057,385.912,401.428,151.452,113.43,262.8
152.59,75.64,94.27,90.15,91.3353,102.082,463.105,466.374,108.644,51.01,184.42
301.21,13.5,181.53,162.24,34.8818,95.8338,674.985,677.551,186.321,112.58,681.85
105.92,24.82,82.11,77.91,90.0171,112.004,330.347,336.684,54.3008,19.54,258.7
109.47,38.32,91.27,37.51,92.5349,113.781,311.942,356.218,181.977,161.67,128.78
488.9,5.21,120.68,67.32,93.6257,106.663,910.189,992.152,305.346,608.07,1300.75
117.61,51.26,98.88,63.66,75.5255,121.106,362.743,375.477,146.059,105.1,206.28
1137.52,25.13,336.92,145.28,92.0061,96.6288,1825.06,1956.64,864.207,642.08,638.95
117.36,37.14,213.06,71.33,94.4571,123.346,474.1,505.059,265.405,234.16,331.23
240.87,9.94,150.43,81.34,89.3101,121.43,590.083,591.909,188.401,161.97,377.27
735.29,27.64,86.81,40.31,91.9529,105.432,780.352,1037.06,225.349,122.97,879.11
351.48,39.21,731.13,64.28,82.1403,124.377,1208.67,1332.28,951.195,1475.52,2633.41
249.43,103.71,231.87,127.58,92.7768,113.773,1093.99,1094.01,68.8211,13.81,359.45
146.07,94.75,83.72,61.37,89.8388,94.5784,383.72,403.694,102.232,66.83,270.22
187.49,26.63,92.26,34.98,94.3815,101.104,581.479,602.228,144.805,126.85,237.95
288.25,191.63,279.65,44.58,81.5447,115.673,799.061,821.318,236.69,117.49,475.09
117.62,43.06,87.01,51.54,90.5646,103.053,312.93,315.781,133.036,130.35,188.5
145.28,93.99,259.56,72.62,91.7164,111.517,573.495,584.623,167.946,85.55,332.18
167.1,12.48,34,32.07,91.5164,62.8484,418.274,444.653,182.601,202.09,98.63
148.45,141.5,315.7,154.07,90.323,130.412,1091.78,1112.04,261.592,145.54,560.4
258.32,85.93,51.73,30.36,90.9228,109.256,437.035,532.851,333.297,308.43,82.09
143.74,68.94,115.99,100.46,93.2638,122.5,526.732,539.223,250.844,240.44,413.98
217.59,116.97,116.56,81.69,89.5391,122.289,544.482,567.895,292.842,263.71,348.88
335.17,44.87,176.33,174.72,89.7855,95.6,878.622,879.243,93.3116,23.41,351.05
105.93,39.35,124.39,45,89.6721,106.134,358.861,444.453,174.606,115.37,333.71
249.07,151.48,62.33,33.68,89.6909,103.471,634.563,714.302,361.319,333.79,144.36
121.18,21.32,85.83,52.9,89.0078,111.173,280.415,314.17,139.816,113.02,138.73
256.1,44.42,422.59,99.65,31.7873,120.68,992.078,1037.85,297.4,229.05,843.06
105.49,67.24,116.83,39.42,92.2628,107.474,378.227,397.925,176.072,169.36,386.86
125.27,107.78,174.15,83.64,81.1344,106.274,478.326,519.149,241.526,174.07,294.18
107.49,93.26,147.64,52.83,82.2738,109.105,455.716,483.399,105.443,111.84,731.03
226.59,64.47,175.91,86.06,92.7427,122.446,1059.25,1064.69,138.678,61.56,304.11
215.52,204.2,177.12,166.29,92.8538,105.367,780.158,787.677,234.655,128,343.41
123.96,12.76,101.24,80.55,92.8661,101.014,384.264,396.116,173.864,147.44,385.86
169.94,17.62,114.62,39.13,79.2522,105.526,370.255,376.786,120.301,81.36,153.75
103.77,61.86,75.72,37.38,90.0972,81.6933,310.547,321.514,157.043,213.31,357.96
252.93,203.02,106.74,73.74,91.9425,99.4085,594.587,666.66,379.201,312.05,280.57
156.84,126.88,190,84.79,92.3533,124.05,603.104,605.435,125.461,54.2,274.79
166.51,12.74,74.16,43.48,75.3531,115.573,371.841,398.423,165.819,157.29,117.64
215.76,42.44,180.73,34.45,86.5493,41.2295,473.358,494.127,199.135,134.71,295.55
123.06,56.48,181.18,153.68,91.6535,120.199,494.693,536.203,265.709,203.27,334.86
282.5,122.08,221.7,49.48,90.812,123.444,724.797,745.877,210.857,109.84,505.67
130.1,91.15,286.39,59.92,91.2038,117.628,565.606,602.118,284.287,210.33,346.31
120.51,44.28,138.68,46.93,92.5302,131.076,656.102,702.621,242.194,219.31,185.61
118.31,5.49,233.18,177.14,88.215,122.74,557.551,686.646,85.5613,130.37,688.16
303.3,209.01,352.07,178.76,91.7421,118.098,1128.8,1131.17,344.725,225.59,873.25
248.95,7.71,314.37,193.99,88.3378,114.015,869.012,917.257,275.847,147.03,663.88
142.74,43.89,132.01,74.5,94.3469,114.789,318.732,406.509,143.419,80.52,439.64
166.23,155,434.09,79.01,91.3372,122.631,926.948,949.908,358.007,251.41,576.53
110.33,18.22,92.99,35.49,90.536,98.8411,275.317,278.295,60.7215,31.25,128.48
149.4,37.51,77.93,33.03,86.5704,99.8006,484.033,539.509,222.388,201.97,110.96
417.47,345.43,287.24,149.52,90.1361,96.6948,1214.76,1271.38,496.608,314.67,474.01
164.59,66.67,73.62,59.03,99.8246,111.506,351.512,409.831,238.302,219.92,132.65
198.1,36.54,96.34,39.21,91.6946,116.504,1137.56,1143.79,146.731,94.43,249.19
193.44,99.37,272.13,137.56,88.6588,140.301,730.368,750.064,302.449,223.95,682.68
155.61,81.57,180.31,136.2,91.4747,117.518,588.079,599.727,339.75,471.02,789.15
193.62,141.29,181.24,57.97,93.4348,124.523,571.817,589.491,552.779,893.17,1079.9
321.92,291.03,150.17,146.12,92.7452,122.863,950.079,1010,427.644,293.39,358.37
199.92,17.4,119.24,31.45,92.3424,114.601,373.274,416.461,290.165,369.29,401.94
326.71,183.22,143.41,49.48,91.2289,113.116,630.805,717.255,402.965,320.11,192.89
113.56,26.89,98.17,32.27,102.842,115.868,326.371,341.386,239.167,416.14,440.95
100.53,58.53,69.35,48.78,82.1435,116.448,261.646,289.528,180.271,219.01,118.13
146.1,27.98,171.81,164.26,102.692,124.626,480.583,526.994,322.184,306.56,422.01
113.58,59.27,67.46,55.81,90.3783,113.996,337.862,404.907,56.7452,46.91,358.61
205.33,29.42,67.26,35.25,90.7969,42.8262,401.423,444.052,280.691,489.56,1040.45
168.08,4.5,131.91,31.01,91.0557,89.3783,396.203,411.916,139.337,90.92,162.92
142.08,93.29,81.35,56.88,89.1086,129.597,336.816,381.902,87.3197,142.01,457.69
126.89,25.93,89.46,48.36,92.5127,98.3536,303.643,337.122,153.438,127.09,209.02
117.08,46.01,81.07,41.48,93.2631,107.232,271.136,293.509,201.27,262.12,281.79
255.33,206.76,137.45,89.53,92.6669,102.232,753.063,812.224,409.578,344.91,226.98
141.18,39.07,58.38,48.71,95.2675,69.6155,336.362,394.327,84.2157,39.89,315.48
276.97,71.18,86.29,30.84,90.1434,103.69,392.801,496.871,267.261,237.44,458.22
193.18,36.2,78.83,61.51,89.879,106.39,414.134,423.935,164.457,126.59,213.71
176.42,43.73,145.49,73.29,88.9885,101.704,480.165,492.277,166.896,104.51,218.78
185.98,115.56,230.73,31.11,89.2722,84.3096,649.208,661.504,268.592,251.64,654.56
280.35,20.38,129.64,55.86,90.5533,89.3332,506.624,520.231,174.274,100.93,185.5
220.1,21.47,209.04,106.71,92.4421,93.9626,619.699,626.824,319.73,340.05,1212.71
197.34,20.33,90.52,59.95,88.4715,118.71,311.801,391.04,91.5323,41.8,382.33
167.29,101.23,86.34,48.56,97.8526,109.032,452.751,511.1,141.3,135.04,451.74
105.44,35.47,75.85,70.61,95.8062,118.677,316.732,326.232,130.959,126.13,404.15
303.72,279.31,449.42,124.88,90.9987,123.832,1161.4,1161.54,324.535,183.83,980.77
336.51,25.77,129.63,65.78,89.4155,103.206,630.606,672.876,320.502,264.31,195.41
182.27,66.88,121.73,119.76,101.418,124.653,674.59,674.738,188.685,147.33,480.79
435.35,11.7,128.05,114.06,90.1831,112.588,674.573,723.067,518.118,592.72,595.54
116.88,34.46,346.2,92.32,90.1186,127.019,681.82,739.879,351.334,292.82,438.52
245.78,88.23,122.07,62.55,92.3018,79.8567,514.683,559.721,142.678,130.44,514.65
119.8,52.13,190.53,107.95,95.2452,345.839,601.204,612.087,189.415,141.4,340.43
287.38,37.54,156.66,50.42,90.1416,98.3779,533.424,547.463,197.321,128.86,255.2
113.26,55.84,238.48,56.06,91.9686,112.447,416.512,500.007,280.499,217.07,342.21
186.49,82.39,93.65,86.62,90.0354,250.501,640.962,655.991,236.317,258.96,490.04
119.78,35.09,170.38,113.38,88.2154,118.549,398.92,464.754,237.455,175.85,369.35
140.36,22.11,40.63,30.06,93.6041,43.8344,235.755,258.203,125.054,96.94,70.69
204.28,138.1,54.39,42.95,91.2361,94.7139,372.528,481.757,249.359,178.72,225.12
130.37,40.22,109.39,57.3,90.4591,128.836,374.616,391.201,128.477,146.63,393.11
100.72,24.38,182.44,64.89,92.4236,106.861,352.132,378.819,224.791,242.04,393.55
196.3,48.02,86,43.54,90.7437,117.13,386.864,421.909,238.399,238.32,129.54
148.8,25.74,206.21,109.68,89.4737,1422.15,1913.94,1926.19,63.6544,98.95,575.4
132.59,82.4,175.22,125.09,89.4963,107.644,523.111,553.934,236.723,166.87,300.31
112.44,4.55,61.47,37.42,91.8567,108.795,273.22,284.136,126.525,116.45,250.19
116.02,109.61,130.52,115.03,91.2876,120.946,736.699,767.599,127.807,59.15,419.26
101.42,25.12,164.25,49.05,90.6878,110.864,324.145,382.342,111.731,59.8,361.24
136.94,42.47,77.24,48.67,87.904,100.032,307.052,326.308,109.811,68.05,156.39
221.55,86.86,205.05,38.28,95.5667,112.668,600.114,602.637,84.215,24.4,243.33
290.87,220.85,362.25,138.72,93.5675,118.229,1354.78,1355.16,151.902,46.3,538.58
242.6,84.68,53.93,48.6,90.2663,121.366,497.108,583.28,240.268,166.06,248.82
316.28,137.88,292.7,107.44,91.0325,124.477,925.466,930.379,211.152,94.88,400.14
126.33,41.11,122.7,72.44,91.739,258.92,433.678,475.774,221.464,213.26,258.08
196.43,120.24,134.18,48.56,87.7327,111.69,552.929,573.119,168.225,91.85,182.74
114.11,87.98,121.98,46.26,92.9459,128.385,524.931,527.716,197.134,281.7,600.74
199.47,109.52,338.64,170.68,92.3625,114.045,837.155,869.541,680.761,902.86,1463.59
104.75,15.27,66.28,64.82,83.3401,73.7504,241.698,273.982,150.556,145.44,199.84
191.04,18.11,92.08,55.98,90.2854,99.7621,656.076,660.509,93.6236,43.46,148.06
226.49,11.6,274.13,98.06,90.3543,220.729,630.494,648.867,298.163,257.1,529.07
175.03,165.78,150.81,139.85,90.2475,119.807,662.286,674.318,172.623,79.65,334.49
169.33,30.99,70.49,39.61,92.1368,103.506,339.996,350.23,127.884,89.72,110.1
124.94,52.52,174.77,100.04,89.244,154.4,477.732,516.074,245.728,202.81,362.21
222.03,181.82,107.09,64.65,109.445,100.905,683.319,788.648,272.568,494.85,1032.67
179.11,46.52,99.06,72.16,88.2643,107.603,378.327,416.291,182.283,128.28,211.94
185.36,32.36,355.39,62.22,90.9892,125.803,603.175,642.019,335.308,457.73,1261.6
185.97,183.24,102.6,56.41,91.7036,37.1694,474.94,546.018,373.611,357.53,466.65
100.76,13.22,487.16,113.54,90.5778,122.445,524.856,748.275,528.746,461.5,1298.81
169.45,103.45,142.48,121.2,90.0742,107.006,754.724,756.986,360.499,463.44,1002.08
106.5,97.39,141.32,107.4,93.749,117.24,481.121,482.518,226.49,226.85,468.19
162.09,152.08,156.78,88.18,90.2933,97.02,691.331,713.836,294.142,247.94,349.85
133.63,84.01,248.76,40.37,92.1014,210.802,846.437,848.877,215.37,268.55,1129.71
205.27,132.1,120,92.54,91.4649,105.603,577.301,594.172,236.488,167.08,212.54
184.21,27.16,115.81,105.22,81.6183,123.73,573.43,611.706,205.58,141.54,384.76
142.27,116.73,149.19,39.64,94.0531,41.8382,469.094,480.786,235.107,215.68,308.53
161.29,12.25,185.04,37.93,89.1763,115.624,423.256,450.644,206.679,159.16,222.97
188.04,122.36,85.76,73.13,87.794,115.345,502.999,535.039,249.724,208.71,158.89
311.73,39.99,81.98,34.25,87.7141,116.2,417.405,536.519,227.031,143.42,370.37
107.78,57.14,79.27,75.62,89.3686,34.0181,339.287,341.63,180.631,187.38,301.61
241.95,48.77,204.39,39,91.2816,162.184,594.002,595.838,204.715,153.98,398.39
100.37,38.21,79.63,77.33,68.4665,123.077,352.311,361.073,132.431,98.93,156.96
301.36,218.38,147.16,118.39,85.5998,125.293,769.221,830.993,429.16,337.69,265.55
217.57,30.54,167,34.72,93.0113,116.843,590.673,596.168,140.886,80.61,201.72
135.81,22.36,95.82,36,91.2308,97.3207,289.406,344.324,136.324,88.86,321.87
999.11,140.2,443.58,34.23,90.7195,117.682,1482.97,1629.07,962.966,814.35,766.22
116.64,30.37,97.6,50.36,90.3036,110.153,308.983,309.03,36.6433,11.42,147.96
196.45,89.9,119.37,84.35,91.5867,147.276,572.155,587.263,187.851,130.36,369.95
