ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
293.87,50.46,451.88,41.2,93.0354,89.9659,1005.61,1030.68,304.231,276.95,961.8
163.09,71.07,1001.05,45.38,86.4444,122.662,735.447,1334.91,1108.6,1051.06,1493.23
339.18,125.73,1849.91,416.71,83.7367,730.179,1963.27,2953.92,2317.58,2195.6,2315.95
356.6,271.65,277.19,68.99,92.1281,84.4903,948.986,989.875,417.857,280.59,346.18
130.35,105.84,101.53,32.16,89.1155,168.789,413.263,450.982,296.097,576.79,1158.64
329.37,137.37,316.33,89.23,90.8415,125.434,858.786,1021.95,639.585,578.96,440.73
542.51,108.38,294.91,62.56,90.7539,125.504,1081.27,1359.34,865.161,820.52,357.47
225.03,224.76,153.15,61.93,92.236,98.046,802.205,904.827,448.603,379.5,245.55
212.95,47.5,457.68,38.55,85.2973,99.7408,1158.58,1181.93,324.655,214.06,571.47
382.69,87.96,162.78,142.38,89.4926,125.612,865.366,1131.62,596.693,490.81,608.56
360.23,269.14,391.92,207.65,87.2754,120.539,1350.34,1383.2,467.271,287.13,599.57
259.95,160.96,481.37,66.58,90.985,110.976,530.032,994.512,946.787,1000.08,739.4
306.16,147.56,354.34,101.7,89.3294,107.41,730.063,1006.02,727.446,664.67,456.04
363.07,194.01,217.79,152.39,86.8766,115.948,835.986,1006.53,612.393,506.63,640.25
149.73,92.82,339.82,99.97,92.3834,176.603,1834.66,1925.99,609.631,606.39,595.76
149.85,115.65,318.32,128.36,85.2899,118.45,671.879,781.035,193.122,243.67,1068.69
219.5,183.27,263.25,113.13,83.8636,105.8,576.167,803.63,539.164,440.41,715.95
316.39,217.2,330.5,92.19,90.1438,95.2057,648.341,1012.2,756.471,663.96,556.52
347.48,205.81,195.38,138.71,91.3504,124.128,503.906,947.88,823.94,810.02,334.09
326.3,306.31,646.44,53.54,114.564,124.61,983.223,1353.09,1152.77,1182.84,1007
239.52,80.24,474.95,44.55,90.4941,118.332,1373.84,1600.21,754.91,721.46,857.49
347.95,135.11,280.76,252.74,92.4714,123.586,1337.09,1338.54,527.078,582.19,1135.23
476.84,27.35,417.74,110.23,92.632,112.143,769.389,1176.62,898.465,845.38,621.85
570.3,307.57,302.22,34.45,90.9163,104.105,1344.65,1651.6,1003.24,930.39,372.9
273.4,270.03,541.08,85.19,92.0243,111.999,1174.01,1179.72,529.151,440.26,1158.68
161.56,138.59,90.01,64.03,91.214,101.437,360.21,487.693,623.255,1037.61,1024.8
265.7,9.53,208.24,187.84,94.8192,901.554,1503.41,1554.06,269.84,499.12,2253.4
