ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
143.95,44.2,40.59,32.7,90.6488,92.351,229.587,285.86,230.389,314.96,189.8
118.45,40.31,108.25,30.92,91.8898,97.3781,370.258,378.606,145.23,150.68,256.64
101.22,82.75,72.28,66.41,87.9998,55.7277,292.076,350.87,211.394,175.81,171.29
161.95,86.25,123.31,105.79,95.2565,118,454.976,500.328,274.896,231.22,229.1
101.1,93.27,89.65,59.04,91.575,125.311,344.383,384.729,170.556,122.21,189.34
170.2,12.54,89.08,68.35,88.4365,120.283,329.226,382.636,184.267,259.37,547.51
190.56,51.49,96.87,96.17,99.4809,82.6405,413.363,446.238,218.468,166.88,193.04
157.97,95.59,217.2,162.4,91.0472,123.819,640.405,669.017,304.288,225.5,379.6
162.62,70.97,115.44,38.23,85.9411,98.5012,398.368,418.357,175.103,123.03,153.67
130.48,31.92,90.54,67.96,89.6498,85.7888,352.446,353.956,118.398,104.34,442.4
102.07,61.25,43.06,40.51,90.973,114.098,377.628,385.996,107.489,152.04,275.59
125.51,34.7,123.18,30.11,91.9815,127.93,255.144,359.735,255.422,260.41,221.67
135.63,23.81,180.49,32.54,93.2468,125.367,368.365,418.509,351.332,486.66,515.14
158.5,50.05,58.11,32.47,91.4759,89.6146,281.798,315.259,249.292,324.67,798.51
151.82,66.53,56.28,33.18,97.5521,87.7354,453.406,494.818,191.957,180.87,89.46
169.82,28.56,225.88,110.9,88.8863,70.4094,503.153,559.788,325.046,280.38,336.78
122,55.04,132.11,50.11,89.4983,149.644,389.599,400.42,171.033,168.52,792.94
111.99,74.85,288.7,50.62,82.3213,125.526,535.506,569.928,323.197,298.15,473.43
173.89,74.52,122.6,48.74,90.8705,80.7762,430.562,440.364,196.276,155.29,171.34
158.9,44.82,207.64,162.96,91.8705,89.857,535.472,611.214,455.76,1153.97,3742.85
168.45,64.93,138.48,37.46,90.0243,91.256,354.374,440.012,291.574,271.39,175.94
450.74,72.91,180.41,100.72,91.7929,118.792,771.356,815.689,380.725,553.07,1141.63
127.47,49.09,115.06,54.96,86.3149,111.332,306.584,362.782,240.086,233.52,170.02
108.64,8.2,66.31,62.22,88.8006,88.7919,263.771,291.379,141.352,126.22,200.32
110.03,27.37,62.46,45.92,66.1401,107.337,387.659,398.584,177.831,210.73,227.96
199.63,72.6,131.58,98.57,91.3556,124.219,838.992,849.627,171.377,101.36,264.31
174.81,83.3,52.74,47.69,89.5913,119.15,427.981,463.703,166.283,231.07,586.59
210.53,77.54,62.8,53.73,90.048,122.761,360.408,423.266,240.699,209.85,116.53
172.58,20.73,76.82,69.01,88.4395,522.931,732.956,765.113,191.257,175.04,219.71
235.09,103.05,129.43,119.43,90.3407,258.362,945.19,954.946,148.527,65.41,474.41
158.06,119.72,135.52,104.64,93.7521,105.345,664.905,668.556,287.793,348.55,800.65
136.95,46.18,102.23,35.53,91.4811,77.8737,320.198,323.616,60.7864,23.61,178.97
230,42.15,115.14,79.44,105.365,105.667,485.558,498.299,151.533,120.11,433.76
339.01,286.43,230.46,90.22,92.4983,101.145,938.012,990.58,482.375,394.07,757.25
216.92,28.95,121.33,57.63,91.2287,85.226,371.666,437.719,273.663,237.8,178.96
187.31,47,49.83,38.49,90.4049,31.9474,251.63,361.416,268.545,253.54,129.32
224.39,48.54,139.34,93.09,90.609,105.872,475.933,538.907,441.928,907.34,1261.87
108.64,37.89,220.67,53.66,79.5026,118.384,379.361,464.561,268.013,218.05,460
158.69,44.18,156.87,80.68,105.498,250.057,597.774,600.025,174.616,197.77,486.94
240.11,164.95,180.49,39.41,90.7638,103.684,663.537,697.416,307.935,235.69,219.9
141.5,68.21,223.75,93.96,91.5616,120.02,579.45,593.79,229.627,169.88,364.14
108.37,94.3,100.9,64.75,92.2166,110.719,287.541,390.013,260.678,236.31,205.97
140.24,12.21,95.58,44.21,85.5832,122.641,257.377,306.475,202.101,263.62,365.56
187.36,52.17,161.67,92.56,87.4703,109.391,653.429,657.379,70.7821,21.69,358.09
298.93,231.82,236.8,59.23,89.9056,141.831,862.517,907.279,157.105,65.2,644.59
108.94,68.55,116.56,40.44,90.0752,133.564,386.392,398.486,139.033,125.99,305.62
108.67,20.26,76.45,73.27,91.5261,104.201,348.019,410.895,133.987,79.51,282.81
