ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
385.85,379.25,246.53,105.77,90.0149,132.447,5372.06,5440.84,711.885,1161.53,3095.45
1170.98,543.71,332.47,151.17,88.5743,108.684,2213.02,2637.72,699.227,379.86,1964.76
664.03,184.81,728.21,36.77,94.4138,93.2609,558.678,1622.76,1595.69,1627.97,943.96
2447.87,621.05,195.24,122.03,90.9591,86.3602,2127.36,3765.1,3174.81,3109.88,317.27
526.83,386.13,575.36,127.15,78.8192,117.431,1786.56,1897.04,825.019,604.8,796.08
1084.71,314.8,806.49,49.79,90.0204,116.949,2386.24,2515.53,466.206,292.48,2021.84
368.32,96.29,394.73,87.96,89.0297,113.449,907.28,971.038,404.435,256.64,613.86
695.26,464.76,393.43,70.55,91.6629,116.756,1820.37,1971.36,910.296,700.89,496.33
435.83,308.49,729.18,74.25,91.2743,125.676,2238.81,2410.65,984.38,801.61,990
527.49,83.9,514.16,65.24,95.1027,108.757,510.63,1276.01,1178.87,1178.22,579.4
458.36,393.23,407.36,39.6,91.7684,115.722,939.596,1582.68,1352.82,1435.07,612.8
160.13,81.75,452.04,155.65,89.4972,110.356,958.511,1256.51,843.041,867.88,1072.67
1016.8,231.21,324.49,68.99,91.0854,105.739,587.936,1697.02,1695.16,1831.44,1009.9
829.37,412.16,571.76,120.34,92.9942,229.952,1607.17,2343.49,1835.98,1875.36,1122.47
1538.21,1383.06,1711.02,274.26,86.1082,411.18,5025,5267.26,2249.39,1562.56,2139.25
915.38,779.84,458.51,81.78,93.3008,103.584,3217.87,3430.25,1468.84,1266.61,657.24
1683.19,1492.94,210.04,151.52,93.422,99.1445,2350.03,3672.73,2938.24,2719.31,542.05
1484.32,101.59,271.91,190.11,113.382,122.758,1592.18,2275.72,1759.03,1694.06,640.55
619.59,249.2,500.59,60.06,90.0318,109.554,881.449,1670.72,1392.33,1364.12,628.71
674.3,475.75,296.34,124.29,89.845,91.8887,2931.88,3274.9,1479.53,1446.73,459.6
887.8,79.18,307.94,63.54,88.5446,72.5096,2059.29,2159.3,829.099,693.43,417.79
784.87,464.68,569.43,32.5,73.9219,104.945,775.124,1865.56,1775.1,1777.78,667.79
981.95,787.77,441.68,83.71,88.715,115.967,2063.84,2736.98,1966.29,1891.51,525.39
919.81,563.46,291.49,146.34,90.5203,103.248,1411.18,2056.02,1587.13,1477.95,437.83
1288.16,521.68,267.94,199.78,92.1573,114.914,2194.77,2954.84,2053.24,1981.59,467.72
858.28,165.69,533.22,89.58,31.4693,115.129,530.936,1720.7,1801.9,1978.8,622.8
506.4,244.99,255.65,176,101.953,108.554,2989.95,3123.28,1019.76,1002.39,610.89
396.73,191.64,908.07,65.16,92.5351,127.499,1511.91,1614.31,896.577,916.21,2041.34
990.87,473.92,603.1,42.05,91.8477,100.774,1669.13,2133.14,1433.72,1197.61,1073.47
641.83,536.11,861.04,40.72,90.5824,117.904,2111.22,2413.65,1325.62,1082.23,1103.6
320.8,295.06,427.55,124.68,88.7797,125.603,1726.19,1727.73,531.997,472.61,1132.1
1724.24,562.5,558.57,63.68,90.8661,116.689,1459.31,3031.41,2739.06,2696.83,653.26
