ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
780.41,265.62,100.67,61.9,91.3031,100.047,689.119,1213.73,293.828,84.12,1070.26
219.62,19.67,325.87,61.65,90.469,121.395,666.552,733.219,427.724,405.31,514.17
128.53,86.52,121.34,35.92,91.3728,119.209,322.356,444.742,213.235,210.91,464.02
216.12,119.65,124.99,78.55,95.9294,113.379,273.673,564.236,488.131,482.21,237.15
215.62,29.06,202.16,112.69,91.5992,116.211,581.71,591.223,335.689,420.23,762.51
222.56,222.32,99.5,97.73,71.6143,104.98,606.459,666.99,308.937,210.8,278.25
289.36,80.99,193.45,112.58,76.5205,119.161,978.093,993.829,322.408,249.45,465.06
302.14,99.15,168.19,106.99,89.6736,1773.17,3888.39,3928.01,432.493,336.36,474.44
102.39,36.07,379.13,85.03,80.0918,115.04,289.497,634.527,452.591,422.24,976.06
209,179.8,121.42,53.22,91.0862,113.983,727.825,787.343,561.335,756.79,174.64
257.66,254.39,86.32,43.15,91.6215,72.4159,365.615,656.979,522.047,483.51,339.2
212.17,167.04,274.98,180.5,89.0338,122.82,1026.38,1062.86,402.118,294.21,455.48
133.85,17.88,301.23,151.34,54.7232,105.226,733.396,898.418,526.341,497.8,561.57
351.51,200.73,533.49,83.28,90.862,119.573,1325.07,1492.26,771.345,650.39,848.07
213.62,210.83,158.81,83.33,90.8628,120.24,491.278,682.896,567.473,761.28,1003.61
573.57,126.82,199.78,43.97,93.7574,189.719,2543.53,2644.24,632.009,510.3,480.2
337.93,82.31,234.54,129.67,91.3947,107.875,703.502,853.175,546.286,475.08,364.21
183.66,84.01,381.63,96.95,90.1128,124.661,404.487,788.159,668.122,641.97,706.18
203.44,99.14,194.47,96.91,91.5006,100.187,623.195,623.387,241.961,193.62,445.71
351.87,34.64,248.53,35.08,90.1338,89.4358,1067.96,1081.55,234.384,133.52,283.61
277.98,108.49,226.43,50.42,86.7464,58.7857,745.85,831.438,592.169,703.78,645.37
209.74,114.12,169.15,120.62,89.8835,108.547,554.589,625.963,400.516,388.12,465.76
221.39,52.7,150.47,110.25,114.423,122.746,520.051,644.689,427.338,437.67,478.99
441.08,18.28,188.68,42.69,90.5655,106.169,397.611,725.517,481.984,372.99,572.73
491.05,240.52,212.05,68.83,92.5804,117.331,901.658,1059.61,648.591,540.28,339.17
133.43,37.67,224.51,98.56,89.2795,125.873,510.767,534.925,212.071,147.55,357.95
375.11,81.52,143.56,142.7,89.4137,125.88,969.426,1135.6,660.021,674,286.26
461.51,248.65,168.88,84.8,88.8725,108.807,833.101,996.958,635.54,534.96,253.68
281.48,98.43,215.76,33.59,91.8193,117.496,785.958,818.165,315.523,264.05,473.92
323.86,189.78,511.41,90.81,91.0413,118.697,1299.73,1319.24,406.738,248.08,658.36
498.77,31.23,227.82,147.29,90.2536,113.9,767.996,922.466,622.741,550.68,375.11
172.87,51.42,369.39,90.72,90.7025,119.435,480.774,762.028,589.036,553.44,460.11
242.97,109.01,104.85,34.58,90.158,85.5901,493.485,652.532,436.027,441.6,286.46
274.3,84.49,241.03,125.96,91.9625,108.272,773.576,926.862,583.846,562.48,448.97
503.47,268.86,387.76,36.87,100.427,106.588,1119.15,1225.24,642.281,505.2,776.31
453.5,255.77,251.82,125.63,89.5755,82.6367,1371.78,1451.24,571.253,442.85,669.74
326.6,188.93,90.49,30.51,89.5386,63.0954,266.438,671.051,644.326,663.92,121
393.5,160.58,509.23,49.54,91.2471,115.192,1394.41,1405.01,401.982,254.1,636.3
372.41,39.74,260.99,43.4,91.1092,95.2744,1507.56,1523.87,321.992,223.65,304.39
617.94,138.64,259.89,188.77,89.2825,125.402,1245.6,1292.61,342.743,157.32,645.17
196.45,70.5,209.69,131.32,91.8964,114.624,420.898,624.57,430.424,355.95,484.66
125.45,87.5,178.84,89.27,91.8757,115.689,428.506,533.139,329.884,283.94,365.7
414.04,243.76,268.29,47.03,95.2641,112.799,740.971,982.361,682.249,584.97,439.37
312.8,48.86,290.41,162.21,91.9134,117.19,980.815,1112.23,428.766,401.58,1419.81
364.88,234.31,469.39,77.41,91.7444,111.328,1185.65,1186.8,292.094,143.45,633.17
156.66,115.87,305.61,72.85,91.7049,169.837,685.984,698.419,284.57,225.07,578.64
529.44,239.74,224.48,153.35,87.9738,112.266,1108.13,1244.53,682.234,549.95,517.41
247.93,116.26,61.04,45.56,89.4561,383.098,967.61,1010.86,293.351,247.44,496.01
258.07,209.81,55.96,53.83,88.7173,111.334,542.223,723.698,433.08,376.1,358.06
352.95,114.38,316.45,74.48,88.9583,88.321,844.17,1077.35,410.98,408.57,1439.23
322.29,50.23,629.45,44.88,90.1599,300.22,1097.77,1227.26,811.862,858.29,983.58
383.07,92.1,356.5,73.19,86.4864,122.083,864.33,918.057,434.584,316.37,429.69
234.28,36.03,156.18,130.88,90.5762,70.8002,339.323,577.12,550.961,604.62,517.33
247.86,65.37,917.72,37.59,81.8647,124.747,1211.88,1373.11,851.999,760.23,1072.48
147.6,20.03,93.02,55.95,94.8177,65.681,325.856,404.334,182.464,241.34,560.14
235.06,36.26,285.62,140.53,92.2336,118.701,727.588,752.033,267.008,166.42,426.15
151.36,82.14,239.18,98.38,89.2147,122.694,792.055,820.459,261.927,178.86,337.56
176.49,112.31,242.93,123.34,90.855,113.071,564.157,659.213,405.147,340.17,366.27
226.07,32.19,248.55,214.51,85.5145,103.978,771.784,812.096,166.505,86.46,782.34
431.96,92.52,209.42,164.67,91.787,111.162,896.818,922.906,355.367,230.25,415.76
226.86,142.24,147.24,93.06,90.0277,109.405,555.529,653.049,414.433,362.6,279.16
207.02,77.81,65.09,32.82,83.5495,88.9092,537.621,605.848,270.971,238.58,131.82
479.05,68.93,289.1,166.09,92.7629,137.836,1075.87,1124.9,466.437,331.82,455.19
291.58,60.21,385.04,165.16,89.1866,121.542,667.919,924.827,707.157,650.21,550.2
248,185.41,280.9,214.81,88.3016,122.951,1781.58,1797.13,339.49,200.63,642.64
375.69,70.5,186.81,39.81,73.7605,56.5873,564.917,680.941,429.132,352.13,260.72
245.3,73.6,155.1,141.24,90.5359,117.269,497.277,623.498,406.221,352.03,1246.63
270.24,100.63,98,68.4,91.6761,116.436,548.993,588.852,279.397,215.67,490.76
671.65,250.84,288.21,101.14,91.4098,120.714,1433.1,1562.97,840.703,738.33,491.84
232.32,86.18,139.04,68.58,90.2027,64.1872,448.769,668.292,556.301,625.31,523.58
192.92,85.86,289.1,123.32,126.084,113.255,966.887,983.389,274.534,185.19,483.88
366.38,98.75,246.03,191.8,90.1496,101.506,931.253,931.637,110.21,27.07,437.83
808.98,274,638.44,40.53,93.418,107.935,2600.09,2633.34,619.533,352.73,716.47
536.22,26.23,421.82,321.13,94.1751,623.408,1794.6,1881.84,718.346,755.98,1519.27
219.87,146.24,370.46,47.49,91.517,99.6667,788.347,803.85,317.926,217.81,467.31
125.18,34.74,573.16,99.22,89.3555,288.912,857.212,994.655,628.538,611.56,752.99
108.06,33.9,135.65,129.76,88.531,121.635,763.924,798.21,127.632,209.21,929.61
376.79,104.15,203.37,110.55,88.1697,125.369,775.935,808.446,355.902,254.9,313.92
185.06,48.78,248.73,202.45,90.3364,123.506,408.869,775.36,668.533,678.48,451.18
231.44,122.64,169.61,112.39,92.0024,110.765,399.298,674.906,561.886,542.21,282
