ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
538.38,105.64,358.06,209.22,90.2807,119.69,1274.13,1338.92,569.758,404.21,567.28
487.18,98.64,52.75,51.31,88.9114,75.2659,860.368,1025.66,570.44,526.41,152.68
272.06,220.14,410.32,200.64,89.4186,127.39,520.711,1145.33,1148.47,1296.19,1404.87
621.26,420.09,434.85,56.25,97.2969,96.0776,1283.98,1541.25,974.974,801.36,531.15
110.48,31.66,206.84,87.25,91.8528,291.049,1368.88,1419.37,442.85,547.3,516.27
330.19,241.06,256.04,113.33,91.8804,744.227,1406.85,1518.27,691.489,668.93,616.47
185.46,92.56,162.82,66.24,89.4675,120.365,599.586,637.834,332.63,599.21,989.56
159.77,96.2,226.45,101.96,93.9004,83.6119,314.482,606.644,541.588,534.97,328.41
524.25,109.47,277.32,147.39,93.1853,125.476,978.607,1399.38,1013.61,998.94,508.35
351.27,192.2,351.96,74.23,89.6998,88.8827,1000.64,1054.11,372.707,216.29,601.82
468.85,83.83,189.63,125.1,89.1507,115.515,658.268,1026.85,358.002,628.49,1701.21
366.13,138.13,133.75,34.47,90.4024,96.9932,625.573,710.067,381.929,290.26,168.22
242.72,236.88,409.07,87.58,92.1973,92.0231,665.185,979.252,709.589,600.28,632.83
1393.92,544.98,291,184.16,92.8095,104.144,2027.69,2641.53,1877.94,1721.36,509.06
1718.03,47.42,172,105.55,93.7199,101.364,1519.06,2134.51,1669.44,1580.07,318.8
355.44,92.14,222.64,183.05,91.6162,112.6,1021.32,1321.23,724.722,627.2,649.69
458,143.16,575.62,42.39,97.5052,111.184,1383.72,1393.04,533.33,419.44,951.59
674.6,76.72,320.95,37.6,88.3144,100.439,1283.7,1353.53,678.966,651.64,358.55
193.27,105.03,254.1,52.07,79.1331,113.572,636.26,636.438,134.151,60.29,337.97
477.19,69.64,456.48,163.12,96.3917,125.85,1757.54,1909.69,646.733,440.3,948.73
171.81,13,268.99,62.64,90.3112,102.837,1708.66,1754.17,346.434,303.86,580.53
368.15,269.31,530.73,66.77,92.6531,122.743,1118.79,1305.41,659.888,500.89,967.87
335.96,146.82,227.43,71.53,92.2852,127.141,1086.89,1193.56,474.188,354.75,523.16
454.56,360.23,371.59,118.11,89.6117,122.627,974.203,1547.81,1250.24,1251.41,489.7
523.6,393.08,593.98,83.26,86.7089,117.622,1608.66,1656.39,512.018,439.04,1535.67
190.53,145.34,199.01,118.02,84.3216,111.012,683.431,684.461,140.173,57.26,317.03
202.75,115.49,192.36,118.26,90.4406,100.009,654.414,751.208,383.607,372.07,661.9
459.88,287.87,570.46,32.81,87.9289,105.537,1527.01,1533.78,678.444,629.68,1382.46
456.82,334.27,1172.45,183.59,93.8139,2561.31,3732.23,3784.2,884.988,622.39,1356.04
208.87,80.51,737.58,60.68,92.3257,2703.59,2968.9,3108.58,743.788,583.99,1230.39
1374.32,633.08,1669.43,560.9,89.8221,856.676,4852.14,5195.07,2437.3,1978.14,2490.97
437.43,327.4,722.09,64.38,92.3495,122.877,2782.06,2783.47,229.14,66.94,843.89
615.54,276.93,385.38,44.79,92.6136,126.016,1484.19,1761.95,1033.69,948.07,430.17
270.62,248.68,154.71,97.83,89.8897,99.1741,751.595,1034.39,623.874,607.9,1316.97
326.51,107.26,254.54,196.33,92.1053,127.631,370.117,940.947,871.113,870.03,450.87
273.03,195.92,426.93,72.63,91.422,108.41,881.723,1272.11,955.885,973.51,582.02
1369.42,109.24,789.89,75.78,73.0761,177.527,2426.53,2592.94,1213.05,903.44,917.67
631.39,170.38,158.61,88.47,75.9145,113.175,746.078,1149.14,1181.13,1513.4,1065.39
352.84,256.22,666.55,71.78,86.9155,123.46,1491.96,1752.42,830.452,614.46,1199.92
