ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
988.55,649.96,177.54,109.42,86.0585,95.8181,2875.27,3265.21,1106.19,730.54,1185.43
674.36,260.57,1237.74,30.39,91.506,105.5,2510.59,3298.03,2362.87,2576.97,1849.11
1319.5,284.53,321.7,41.16,92.1488,98.798,2552.51,3214.66,2003.73,2058.28,572.39
1455.93,547.86,94.43,70.02,92.0312,95.2945,1294.89,2495.58,2199.83,2254.34,299.75
1542.25,1075.77,3267.83,33.78,90.9272,1363.01,5682.83,6147.08,2796.19,1905.64,3729.72
596.14,481.69,233.22,230.98,90.7511,119.052,2494.91,2585.33,895.037,722.98,540.53
752.03,344.82,1616.48,189.35,92.0501,1288.82,2592.79,3128.18,1947.27,1751.78,1805.83
788.18,341.91,476.46,54.65,91.0302,110.863,1401.67,2030.79,1493.85,1426.12,566.41
1751.05,1030.17,273.8,142.1,82.7459,127.785,3344.39,4155.19,2705.51,2586.21,472.25
421.29,115.6,49.96,44.72,86.3304,353.22,1144.84,1283.81,949.957,1568.65,1658.26
751.02,488.73,293.56,107.6,82.1704,112.027,803.574,1809.19,1477.19,1612.84,1680.9
299.75,180.95,127.16,89.07,88.4609,290.289,1711.12,1792.79,538.874,538.74,252.57
1245.54,991.84,433.25,59.4,86.7895,97.092,4227.65,4796.27,2425.69,2360.7,528.53
2545.41,881.44,2281.45,34.96,91.9559,1299.77,6393.77,6525.63,2183.22,1966.85,5432.36
1028.87,314.5,1099.26,35.17,90.7603,753.4,3134.74,3270.92,1315.45,1023.9,1763.67
1254.88,384.64,580.22,81.08,92.6877,114.753,664.497,2388.21,2304.14,2314.45,661.3
796.94,419.53,1728.32,173.45,94.2673,1015.23,3066.13,3285.05,1464.19,1036.05,2230.33
1571.97,643.36,2050.17,660.18,89.9578,1779.25,5874.89,6288.72,2716.31,2263.86,2791.15
1021.96,766.3,1205.43,72.02,92.2012,914.379,3218.21,3887.58,2410.1,2215.83,1319.17
630.47,173.68,335.07,205.72,91.7614,124.245,1209.02,1395.23,907.402,813.76,683.83
629.62,557.04,469.49,42.38,90.1184,116.196,1133.04,1774.64,1448.77,1377.93,604.99
1108.94,805.86,514.65,81.07,94.2745,109.975,2416.39,2850.09,1826.39,1661.41,1027.14
920.9,742.65,288.32,88.62,91.1066,102.249,2135.87,2500.2,1411.23,1199.23,499.69
670.27,302.59,743.83,54.16,89.2099,810.292,1507.23,2103.62,1999.67,2533.8,2232.42
423.24,54.05,85.77,47.43,91.0364,101.67,424.627,682.25,403.322,298.73,459.28
1407.57,403.66,986.27,68.54,91.0228,1479.33,4311.96,4997.36,2550.16,2470.16,1284
288.12,47.63,368.67,132.46,88.0234,102.756,860.069,1071.88,555.824,439.98,1194.94
884.26,496.31,281.93,162.97,96.9671,110.662,1225.01,2018.91,1653.68,1598.27,444.9
901.37,694.96,833.91,62.48,83.146,114.394,1663.96,2647,2172.16,2076.08,896.39
516.14,107.58,265.99,193.94,36.8445,121.006,625.832,1091.92,1042.41,1104.12,621.25
