ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
907.44,307.72,3524.24,191.96,93.2282,1256.02,4184.31,4989.54,3212.29,2778,4539.04
961.61,735.62,1110.65,143.32,92.8934,1091.12,3133.66,3211.82,1099.63,709.02,1253.97
739.55,343.08,247.99,69.82,90.4604,122.043,1815.18,2013.69,907.466,734.29,617.99
926.93,802.81,514.04,56.23,90.9012,122.253,1807.81,2379.49,1755.26,1603.54,643.11
504.19,398.34,245.68,48.47,71.0816,119.684,2695.04,2939.51,1063.96,984.34,621.56
1376.12,112.05,1461.64,714.22,91.3683,1822.75,5401.84,5481.52,741.007,416.59,3394.51
682.75,312.06,324.74,129.4,91.7505,99.6279,1048.43,1708.79,1378.23,1360.01,454.14
848.59,672.11,199.31,167.43,94.4992,89.623,641.375,1914.79,1734.46,1658.53,833.84
1021.76,737.45,1304.05,975.88,96.3781,529.239,4071.38,4141.15,1338.96,751.98,2453.89
849.86,62.05,255.33,192.65,90.0665,116.309,2307.53,2676.66,1358.45,1359.17,484.02
662.43,340.36,1213.99,352.54,91.0739,1295.86,2775.33,2778.75,338.549,113.63,1566.53
670.77,300.14,416.11,81.68,90.6697,446.031,977.388,1551.6,1398.63,1578.34,1018.86
827.72,563.37,267.69,113.14,91.526,91.5022,2484.24,2689.07,1128.99,915.45,759.76
639.84,47.41,682.4,72.54,93.4811,124.944,1945.53,2104.2,952.514,813.6,754.94
697.68,375.91,180.05,86.8,98.279,70.0163,1020.73,1518.11,1132.4,1044.06,367.33
804.88,687.4,172.65,84.06,77.5278,112.264,860.102,1918.92,1747.22,1771.35,256.71
1002.79,708.64,281.32,240.05,91.1339,125.727,1805.64,2267.73,1582.55,1395.45,590.56
285.3,189.58,544.46,88.9,91.2641,118.179,1930.05,2211.82,1008.96,943.61,854.85
446.74,325.09,192.62,150.61,89.3475,76.0555,2008.62,2059.24,603.861,466.7,396.85
170.42,148.06,1024.61,48.43,94.7548,251.724,1603.87,1841.19,1107.6,1084.34,1271.06
