ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
646.65,484.3,1243.41,35.64,93.3096,117.177,2505.04,2532.24,692.586,346.25,1310.8
316.13,78.46,773.68,73.67,78.6199,472.776,1687.43,1770.75,648.787,500.85,847.35
212.83,151.21,729.95,30.73,90.8577,114.726,1287.02,1636.69,1032,999.56,871.43
3066.56,223.99,433.94,62.04,93.3195,120.465,3066.43,4546.3,3404.48,3250.04,604.94
974.41,434.62,247.81,94.65,95.5593,88.6551,1931.35,2351.77,1475.43,1438.46,899.31
930.68,793.91,153.01,85.57,92.7822,55.1045,1308.43,2086.49,1352.55,1031.77,1081.39
1276.4,763.65,739.97,90.22,65.3773,895.314,3048.95,3282.65,1558.12,1188.56,992.36
738.42,394.86,466.56,174.52,86.7238,129.186,1666.22,2049.16,1321.98,1180.13,691.98
997.45,507.69,237.07,74.36,91.233,73.5317,1392.65,2280.59,1846.83,1884.13,458.6
1737.3,441.14,96.05,44.04,58.532,85.8484,1711.67,2870.32,2331.61,2357.39,203.23
792.73,772.22,207.74,205.03,81.0525,117.201,1028.9,2128.42,1890.55,1869.27,412.77
447.13,239.7,234.06,217.4,94.6972,106.094,1056.62,1254.28,758.22,666.25,972.49
695.15,168.61,174.49,150.52,91.9836,90.4299,1062.47,1479.94,1082.83,1061.04,466.86
821.61,674.95,411.16,146.45,89.6133,136.026,2562.54,3111.59,1869.05,1842.29,889.46
143.42,74.4,780.43,71.86,91.951,137.729,1704.97,1984.75,1067.7,1108.62,965.05
1684.3,1239.37,1121,145.72,91.3861,275.28,3284.04,4211.55,2654.06,2116.69,2575.54
512.55,445.22,775.4,48.18,96.9469,107.367,1684.22,1982.05,1220.71,1057.66,823.58
1397.58,428.65,208.54,137.74,69.5322,85.7286,612.069,2178.75,2842.58,3857.44,2155.41
285.41,178.58,1289.84,79.8,89.0086,664.671,3059.78,3321.2,1203.79,979.11,1686.27
844.54,529.02,271.94,60.98,99.2886,111.412,3280.52,3587.17,1896.87,2478.66,1843.46
1091.92,380.21,168.09,119.11,92.2656,100.129,924.587,1828.18,1630.93,1595.49,287.2
