ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
829.76,422.7,627.62,44.84,92.3877,102.795,1732.78,2057.68,1327.98,1166.52,705.71
1957.71,488.71,891.83,879.29,90.6556,416.385,3218.38,4809.74,3752.3,3630.26,1864.45
559.95,365.74,930.91,41.05,91.5826,118.521,1063.99,2167.7,1903.71,1915.12,971.96
1920.44,225.84,1079.16,117.43,90.8098,472.685,2962.24,3414.97,2025.03,1645.46,1303.86
1224.94,321.88,1436.73,128.07,92.601,1733.5,3733.86,3771.04,909.523,497.37,1838.57
789.51,411.55,938.76,47.48,89.5486,115.555,1682.74,2194.47,1574.88,1380.92,986.24
1295.43,999.37,1315.65,248.31,90.1896,1025.52,4456.72,4611.42,1845.09,1847.51,3611.7
1863.18,116.25,272.13,189.9,100.889,116.644,731.971,2489.99,1928.28,1693.96,2108.26
701.09,76.67,347.06,104.72,88.7437,115.409,1061,1532.05,1043.91,958.96,792.19
1546.36,354.09,1265.84,797.58,90.1589,2871.65,5974.61,6007.3,1005.35,644.83,3190.03
1945.06,1273.72,775.14,69.86,92.9908,130.291,4126.92,5329.99,3517.11,3329.8,1396.83
998.01,669.42,1082.78,49.19,91.5391,3146.18,5326.76,5523.67,1714.34,1400.7,1202.22
1206.96,201.31,940.62,34.01,89.9115,122.362,3497.66,3529.87,593.137,252.4,1287.42
1434.39,218.38,442.7,88.94,89.9578,109.808,2790.87,3412.53,2021.51,1974.07,531.64
346.99,265.31,713.84,66.58,93.5427,115.844,1667.48,1729.44,675.341,492.87,780.42
1447.24,671.1,836.89,31.23,90.428,118.678,1895.34,3484.25,2915.87,2882.31,1130.63
462.79,441.66,350.91,257.03,60.3796,132.208,1422.85,1969.22,1640.07,1881.7,979.14
941.89,268.24,1392.18,32.86,90.9051,127.156,985.455,2746.22,2472.6,2367.53,1984.54
663.11,22.57,456.37,71.48,88.7934,107.783,1267.77,1311.12,549.656,393.97,597.86
1177.46,835.19,571.21,86.22,91.5757,108.517,2194.42,2677.75,1739.23,1441.58,732.98
1024.97,600.21,391.81,286.45,93.0997,1846.95,3582.66,3800.59,1335.06,1001.23,954.84
776.84,557.24,339.61,138.44,89.7038,101.348,1026.58,2071.26,1748.92,1699.91,582.85
731.08,202.22,247.19,197.71,80.9392,117.957,1338.78,1720.75,1061.14,925.87,783.11
1394.26,829.46,323.02,93.83,93.7151,85.5813,1856.18,2821.86,2050.45,1777.22,1083
1074.39,101.75,756.29,66.62,90.1617,120.827,3682.46,3825.69,1240.57,1015.94,822.91
116.49,63.28,183.99,180.95,93.4822,123.816,2751.37,2760.02,285.412,221.8,364.94
846.05,108.18,479.37,35.05,87.6685,147.825,2219.38,2299.83,891.968,1274.24,2179.13
676.74,622.66,410.14,93.78,89.2134,1012.2,2323.95,2515.36,1249.98,1134.58,3908.07
200.99,191.9,260.01,194.78,87.5274,125.844,1367.31,1548.34,917.079,1092.81,929.3
987.12,124.64,145.19,81.96,78.3855,99.1998,1967.91,2255.15,1066.49,946.71,762.07
801.06,685.79,503.24,150.52,102.646,131.116,899.253,2279.95,2103.39,2102.59,780.69
1207,608.5,2685.18,164.42,90.4916,761.405,4626.46,4757.69,1844.46,1180.79,2849.6
730.2,708.19,418.04,132.97,90.0136,116.043,1923.17,2566.08,1715.45,1597.03,660.6
900.65,713.96,194.29,130.81,91.0202,111.585,1841.66,2360.4,1996.18,2368.97,1169.62
250.61,202.35,286.31,190.88,90.1507,189.543,1228.65,1528.34,994.544,1099.6,730.14
629.01,603.59,1030.86,180.12,91.484,259.844,3522.65,3591.04,1158.29,888.39,1958.18
644.2,292.67,572.04,79.08,88.7519,118.22,2190.98,2640.38,1455.41,1387.77,738.57
1177.09,60.36,66.46,54.79,86.0572,39.1528,1038.22,1584.94,816.705,625.04,1345.93
1514.52,234.36,845.62,47.52,96.4734,121.377,1239.67,2764.16,2522.38,2490.44,893.14
1524.33,811.12,421.54,142.49,90.5058,124.201,2897.74,3595.41,1828.91,1512.97,884.22
1002.44,824.23,1274.9,66.5,92.8862,194.178,3133.78,3399.28,1807.7,1459.31,1491.64
1249.53,405.48,271.26,237.66,91.964,125.646,2141.66,2809.07,1919.28,1855.02,545.45
