ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
574.91,182.15,362.75,68.64,89.3895,110.744,773.911,1402.49,1189.56,1206.38,431.39
657.96,261.69,297.24,81.23,90.6246,442.226,1157.83,1420.28,861.474,756.91,477.18
299.91,231.95,527.73,58.29,91.679,119.592,936.423,1149.75,707.08,568.91,1556.76
265.26,178.79,138.02,126.09,82.6543,78.0628,707.443,821.294,669.038,807.3,670.74
283.07,214.89,457.92,175.67,90.9524,118.349,520.539,1140.41,1054.89,1047.01,633.59
422.06,113.22,534.96,48.42,89.4014,93.4086,635.361,1134.23,982.465,938.47,620.19
423.21,36.81,341.11,137.41,49.8713,110.15,1104.24,1388.78,944.508,1006.68,735.01
460.73,365.53,554.03,86.73,89.7372,119.371,1487.16,1596.2,1046.79,1442.95,3326.96
175.78,137.97,121.61,102.11,89.5423,88.4118,305.566,579.056,471.765,432.5,467.78
509.79,415.1,408.43,203.3,84.5635,160.649,971.325,1558.01,1334.56,1295.14,611.73
217.78,67.5,431.81,107.52,89.7067,113.347,1394.98,1422.76,404.685,298.31,577.39
265.2,101.6,426.24,149,90.6234,128.559,684.241,958.861,998.768,1331.93,674.36
711.44,227.29,218.6,198.44,93.9006,119.951,420.492,1372.78,1263.4,1206.45,1046.09
594.92,144.18,221.67,140.24,96.3584,102.329,539.735,1174.04,1021.21,985.05,568.2
462.3,169.94,327.99,126.08,112.974,119.555,1354.05,1386.24,432.464,273.1,486.23
584.17,272.97,948.84,31.83,90.3661,162.889,1845.9,1852.15,481.209,276.18,1381.57
599.08,420.36,448.28,40.3,86.1948,120.151,915.392,1640.56,1387.54,1344.2,576.25
330.13,128.79,405.79,106.18,84.0767,105.295,824.077,1012.25,690.289,618.06,511.97
471,295.16,176.71,99.83,92.5339,124.046,808.327,1309.02,760.402,567.4,803.3
599.74,159.3,125.94,86.88,89.6528,637.245,1152.63,1457.35,1101.59,1306.62,761.4
459.35,51.47,314.13,65.05,92.4983,115.112,939.749,1093.11,518.356,376.65,555
383.54,267.27,343.02,155.51,90.3993,122.275,1312.53,1326.98,447.324,300.51,882.51
107.28,62.79,407.67,100.34,91.713,126.595,1774.44,1831.38,644.194,742.51,779.82
695.72,450.99,212.9,80.02,91.0029,107.784,1278.05,1565.56,983.827,832.91,430.56
522.26,399.51,351.16,215.48,88.4138,137.524,776.048,1587.47,1483.13,1544.6,1084.52
901.07,237.76,561.33,37.45,91.7019,115.306,1615.17,1803.25,1020.52,822.52,598.78
298.46,186.22,458.48,43.04,89.0844,107.827,1003.71,1224.69,767.949,705.1,501.52
1174.92,160.18,878.74,47.49,93.6529,126.243,2884.22,3022.46,544.078,437.77,2246.53
102.31,46.37,294.33,266.01,87.4031,124,963.811,1069.34,1168.94,2994.55,3427.22
421.14,371.4,389.24,69.78,91.733,116.17,707.594,1380.06,1185.26,1154.2,496.57
230.75,172.93,572.12,30.04,90.1583,113.072,760.33,1186.63,923.707,895.79,635.31
449.59,191.68,199.36,138.47,93.2704,75.4065,937.633,1006.35,516.051,399.29,369.16
493.25,273.11,172.14,75.9,91.5375,96.7941,738.246,1090.59,290.27,147.84,1309.11
792.3,72.58,517.19,59.75,91.8822,100.455,1378.27,1454.6,698.322,515.85,674.65
597.82,70.62,155.59,130.13,92.2884,108.973,848.231,1076.22,863.5,938.21,431.23
484.81,122.02,171.21,84.11,91.0711,122.934,842.246,920.789,562.469,526.82,434.13
367.81,221.08,119.01,63.29,93.006,104.882,824.277,928.629,355.45,397.06,858.54
2064.6,136.6,252.73,77.92,92.1485,98.564,2546.01,3165.69,2036.27,1883.17,330.65
519.82,193.25,175.53,62.35,91.5694,121.78,1609.62,1832.4,954.369,1037.77,612.5
414,235.69,310.44,69.33,90.8508,109.762,975.279,1125.16,714.857,650.14,469.88
626.52,472.15,142.31,124.11,89.4198,114.563,897.765,1551.57,1281.62,1257.18,266.42
538.93,202.78,266.39,191.87,87.4359,112.965,1177.16,1339.58,799.666,698.22,585.91
702,27.78,679.87,81.73,97.3574,742.751,1752.37,1902.79,884.169,747.76,890.77
470.05,418.13,352.59,100.2,88.9596,124.948,684.921,1378.01,1342.58,1451.33,901.57
703.74,0.54,514.92,47.16,35.3491,114.227,953.566,1477.13,1408.05,1692.97,1083.47
129.48,72.66,318.46,160.93,96.7118,124.602,828.287,967.724,559.648,576.36,762.89
318.25,64.91,334.35,104.32,90.5947,126.381,514.682,936.252,914.413,1055.03,797.43
258.97,188.19,779.36,106.75,88.4636,282.973,1890.5,1944.66,447.523,263.47,1662.44
536.24,136.23,283.72,30.87,95.1597,78.8617,572.588,1014.51,852.798,801.23,314.59
560.64,129,293.71,144.33,87.5089,121.477,1107.44,1496.41,1454.54,2036.3,1520.22
856.59,577.25,210.34,92.79,92.6104,121.246,1046.35,1794.99,1555.34,1519.6,439.89
416.2,54.64,616.6,60.49,91.3781,98.7149,1126.04,1549.57,1089.2,1085.39,1037.14
676.59,330.09,181.77,44.46,92.1417,109.31,1022.11,1534.48,1166.35,1151.48,226.23
539.37,356.97,795.78,52.86,90.9645,115.248,1118.3,1942.05,441.801,587.47,3551.16
507.4,459.76,820.36,43.63,88.9219,492.64,1866.61,1892.09,561.071,307.17,895.57
776.69,132.45,296.12,156.32,74.2982,135.031,2114.18,2218.2,734.223,547.13,759.02
214.37,115.55,275.41,136.44,76.9531,111.442,458.229,761.037,596.576,533.52,575.65
304.36,183.24,381.66,196.01,87.9049,122.912,1172.28,1203.81,542.374,446.9,839.25
602.63,595.42,160.22,124.82,90.6775,116.046,1766.64,1996.93,1031.39,888.81,433.42
154.48,14.42,386.04,139.45,97.8593,113.386,1533.14,1586.75,481.994,424.48,525.49
247.93,244.6,554.78,120.62,90.8717,121.769,351.755,1192.27,1074.68,1008.27,806.9
220.29,84.09,246.42,82.06,88.137,97.3993,1212.14,1267.92,418.441,353.12,328.48
682.27,236.49,374.69,46.33,83.4057,253.954,1565.82,1852.2,1059.01,1001.07,604.34
143.97,50.1,246.37,196.73,96.4462,119.739,585.758,642.597,434.464,444.86,778.41
224.03,112.92,612.07,45.47,91.1285,108.806,1265.95,1397.09,517.175,916.81,2035.72
296.89,266.24,207.85,51.06,93.804,108.282,568.126,976.336,795.179,794.19,332.93
674.05,225.19,185.65,150.76,90.3025,104.792,1382.06,1719.36,1060.97,1002.52,447.41
1003.95,562.03,360.19,37.26,86.6889,80.2778,1271.83,1975.19,1597.23,1471.36,532.3
316.25,92.45,368.51,85.31,90.5296,121.202,1050.89,1055.92,449.417,476.56,1055.81
482.01,263.69,113.17,89.75,90.2319,87.7156,620.784,1122.96,1019.47,1113.75,406.74
455.08,216.76,563.02,71.8,91.1479,119.135,901.06,1355.92,1051.5,959.7,849.25
266.64,218.48,216.15,42.81,90.1743,100.361,1086.5,1212.32,513.012,417.49,397.37
556.17,220.8,509.26,134.63,90.1967,119.602,576.104,1431.3,1306.41,1258.72,837
347.34,184.88,478.08,66.54,89.7827,110.753,966.372,1409.03,931.621,838.19,794.66
727.1,204.07,251.99,251.32,99.7975,122.801,2506.96,2811.88,1344.18,1340.83,700.03
221.4,54.78,392.19,87.78,87.9159,115.902,895.629,971.017,288.913,241.84,1051.03
364.59,146.02,389.63,82.67,91.3151,112.046,1228.29,1463.66,628.712,447.46,716.52
585.4,164.54,551.33,127.82,92.5992,235.358,4156.07,4241.42,1389.61,1732.53,1590.9
