ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
2806.3,306.18,258.19,241.35,91.0271,108.711,4935.09,5591.46,2874.77,2652.68,499.54
1490.66,127.78,1228.17,43.03,89.8525,117.851,2622.27,2923.27,1618.61,1253.9,1340.06
1125.98,913.88,1012.2,658.63,89.8979,1670.81,3694.39,4056.04,1763.72,1535.08,2118.01
1130.89,429.58,850.43,32.2,84.5292,189.596,2914.24,3512.22,2005.53,1831.59,1127.37
1229.29,1219.59,1010.32,45.32,86.1202,108.166,1254.95,3541.05,3309.23,3215.86,1228.08
1545.07,521.77,1003.66,31.93,88.3419,110.26,2254.27,3157.54,2491.83,2339.59,1274.04
1257.16,414.56,1245.8,803.98,92.5149,570.171,3091.87,4407.1,3399.89,3407.02,2475.16
2485.38,438.8,1053.91,57.34,89.7387,123.634,3133.32,4882.67,3851.39,3815.75,1316.36
2830.08,1021.85,162.13,64.97,91.9609,826.927,2532,4684.61,3977.45,4018.63,844.45
1104.63,225.77,212.98,111.59,89.3254,112.148,1345.93,1686.48,1599,2027.84,1747.8
1714.42,537.23,829.95,60.71,90.5444,125.362,2614.05,3271.13,2257.88,1998.63,930.99
1042.1,585.26,1657.86,49.36,91.0058,259.059,2721.3,3551.32,2898.67,3036.27,3185.99
1885.48,426.57,708.98,35.22,91.8637,104.486,1177.28,3090.39,2819.16,2690.77,965.31
1320.64,662.08,561.49,93.82,87.9006,119.351,693.812,2719.7,2600.51,2572.52,887.84
535.52,497.91,619.96,74.15,89.5578,125.162,3160.93,3386.34,1324.85,1198.33,902.26
1150.83,401.37,931,61.16,95.6356,123.754,2487.81,2556.87,961.439,590.65,1041.61
1031.79,612.34,2160.08,316.79,91.075,525.878,4040.37,4139.94,1488.52,891.15,2613.45
315.7,251.72,373.56,77.47,91.6713,123.284,2753.34,2929.65,1003.89,1006.61,451.03
2996.14,363.08,1352.97,76.57,90.7366,186.283,5817.97,6155.64,2165.4,1437.65,2577.82
2851.84,996.63,2035.05,41.43,88.2699,1031.84,7053.92,7364.94,2784.1,1932.03,2594.54
1278.7,678.06,267.01,113.27,90.0787,116.446,631.41,2350.6,2017.76,1796.19,1359.11
631.08,538.67,2045.45,31.2,91.5369,1416.19,2532.21,3735.08,2838.94,2717.43,2189.62
