ptl1,ptl2,ptb1,ptb2,mll,mbb,mllbb,mR,mTR,MET,THT
155.85,37.73,115.48,30.61,90.4714,108.94,423.706,445.64,161.92,113.84,146.09
102.13,36.97,114.66,62.85,94.3269,107.084,331.082,337.554,126.828,132.1,309.65
115.85,105.39,73.45,64.54,89.0064,120.354,340.21,373.172,183.497,158.38,173.51
178.5,11.73,133.07,50.08,91.9923,108.727,339.824,389.325,209.905,176.27,228.1
124.92,38.02,142.86,37.5,90.2795,117.184,322.237,345.206,230.683,445.19,783.33
102.13,84.28,111.51,77.51,91.0839,84.1535,409.917,413.222,161.842,152.85,364.81
147.02,103.09,32.8,32.1,111.354,15.3949,310.08,351.103,32.9565,11.68,309.05
184.03,55.09,61.26,36.64,89.3003,98.3686,414.935,477.743,242.312,240.5,97.9
185.96,15.45,161.81,32.14,88.3263,81.9672,458.88,490.378,213.999,164.63,193.95
298.76,12,93.08,36.7,76.5205,116.184,414.107,469.341,228.405,167.13,332.85
104.05,28.19,35.99,32.82,87.9958,22.2961,200.681,213.761,115.537,113.54,100.29
114.3,83.21,220.03,70.93,87.5464,152.128,526.426,543.969,261.63,219.07,426.85
150.62,53.66,50.75,45.84,99.5976,110.865,322.305,367.715,168.08,181.88,398.11
201.83,30.27,93.32,36.31,89.8388,128.636,617.066,662.557,311.711,652.29,823.71
138.6,49.94,94.78,73.98,84.3026,137.49,370.619,393.94,297.698,766.3,1380.46
240.02,58.37,152.64,122.09,92.1497,112.079,596.218,597.237,154.231,81.76,274.73
394.12,54.14,663.92,123.6,89.884,201.55,1677.68,1711.56,562.795,405.24,863.8
161.63,81.93,86.2,30.91,89.1202,111.371,334.158,408.123,307.523,510.77,1077.84
155.25,16.3,109.13,63.68,60.3993,124.115,385.086,390.905,245.548,504.42,756.39
429.18,76.05,225.67,109.12,89.7901,118.746,935.547,953.293,234.573,115.51,460.39
116.64,21.87,90.32,30.2,90.8344,111.891,328.194,367.929,166.149,166.51,120.52
101.33,23.27,46.28,44.49,91.4059,113.568,280.557,329.8,188.081,235.59,278.91
148.32,118.24,119.4,71.37,90.0764,92.1072,467.39,477.7,525.609,1151.88,1612.08
145.14,22.94,127.93,39.03,81.3648,124.519,411.245,425.458,146.02,113.12,166.96
169.28,18.74,125.18,36.21,92.6765,118.94,294.529,381.141,259.66,242.87,161.39
170.96,74.15,122.81,37.31,91.9525,99.3474,412.529,428.924,476.278,1007.08,1166.17
208.88,102.2,146.24,119.9,90.8246,268.171,735.455,767.281,306.987,619.43,1056.75
223.26,104.88,117.6,33.84,87.3799,577.933,1274.92,1315.08,227.552,580.85,1042.49
275.25,52.55,334.49,79.46,92.0591,119.428,776.781,781.825,511.649,804.89,1285.4
156.36,86.31,271.11,67.4,91.1173,123.248,668.646,674.265,368.859,572.47,338.51
151.51,6.99,232.69,201.69,100.656,125.663,626.876,708.981,330.1,253.38,633.12
181.72,27.79,147.99,63.11,90.7614,119.58,475.811,476.168,218.909,252.54,773.52
123.63,55.61,83.3,33.41,98.2652,110.267,288.3,325.249,105.752,86.16,262.7
318.52,60.04,173.28,107.97,75.9874,120.943,672.64,688.746,320.754,264.7,446.38
154.1,121.37,71.05,50.51,95.7025,118.352,386.066,438.142,359.687,504.08,543.2
129.83,41.75,68.67,30.19,91.9164,65.5813,232.22,311.214,199.468,193.52,186.1
120.19,53.33,104.51,53.45,93.3139,122.811,353.176,422.621,235.227,251.85,277.78
129.55,34.11,127.15,38.19,88.0904,109.075,848.94,849.22,506.109,1955.89,2785.08
114.01,10.7,108.65,30.59,93.4535,107.751,255.531,300.311,313.491,852.59,1209.85
153.39,118.85,95.59,57.79,89.2193,58.5304,375.448,442.715,224.685,155.27,200.79
136.62,0.51,129.89,86.93,42.1335,119.403,484.206,500.159,307.113,754.73,1142.07
166.08,77.77,129.92,67.17,85.6509,66.3231,443.077,472.673,200.881,138.07,355.48
133.13,48.28,154.14,74.95,90.9408,111.462,444.873,460.071,146.367,84.02,269.77
151.67,143.2,162.5,35.38,89.0151,121.151,467.102,499.111,305.321,303.59,328.47
121.05,66.09,69.31,63.81,91.8136,72.6363,314.977,335.293,256.024,393.23,496.42
149.85,19.62,143.04,104.04,90.7202,610.087,940.785,948.028,174.208,121.07,247.08
142.54,106.23,41.67,32.7,89.1154,67.6553,178.438,350.038,201.484,894.74,4172.44
183.07,73.22,183.33,85.9,89.8462,111.411,536.808,537.02,108.169,47.02,269.23
168.66,72.48,79.39,46.63,85.2662,99.6492,358.649,419.592,289.572,296.91,223.72
387.47,1.12,332.51,74.31,13.4987,121.993,1271.39,1273.46,415.747,445.95,976.09
322.79,177.54,200.99,105.16,90.6126,116.291,794.824,824.975,450.167,403.62,471.69
191.74,116.6,57.95,48.66,92.7858,62.0002,455,505.915,140.032,117.52,393.32
209.74,61.07,77.42,60.22,90.3607,118.63,414.78,441.333,206.542,171.06,174.19
188.42,91.77,183.85,104.89,91.3672,98.6208,564.885,572.231,152.558,73.97,328.06
266.46,59.91,233.5,81.8,70.7313,108.947,695.536,696.419,186.733,114.21,437.55
108.53,81.85,285.28,48.68,90.4284,122.867,606.456,656.074,307.896,249.37,333.96
173.01,84.42,85.56,55.1,92.4684,114.779,478.558,506.186,134.853,67.53,219.68
100.45,69.06,95.74,63.25,91.4582,100.592,352.755,369.87,139.381,131.48,344.7
115.56,23.2,306.77,101.87,58.3823,127.366,433.728,574.417,512.019,626.8,890.99
144.9,58.32,141.73,76.13,92.469,117.721,419.656,458.194,356.213,504.5,288.88
164.81,141.39,157.67,84.46,90.3725,82.3734,917.612,920.691,206.854,149.59,394.33
167.69,32.79,90.94,31.02,90.4113,102.201,408.987,437.847,228.454,450.69,644.31
133.54,123.03,160.09,42.48,77.8934,109.753,519.289,535.128,390.558,645.38,968.46
179.94,61.46,155.44,122.04,90.6476,119.614,507.993,533.015,560.184,1446.87,1798.57
104.93,82.28,198.07,109.42,88.8177,125.342,529.742,541.162,324.278,372.7,598.47
153.16,137.14,181.97,32.38,89.347,45.5684,498.574,564.649,279.38,649.85,1312.19
172.46,114.05,492.03,106.03,101.548,126.956,851.669,910.07,372.209,251.65,789.32
162.52,26.99,89.42,55.7,89.1485,93.0551,268.571,351.117,257.127,252.98,145.12
131.7,81.72,111.91,92.8,92.401,122.604,708.208,726.631,198.749,136.77,237.6
215.48,10.46,159.37,139.34,80.601,145.496,804.542,807.252,274.117,261.59,604.96
119.75,31.91,111.86,94.25,90.3764,124.255,511.666,520.942,141.613,144.96,432.18
221.99,141.21,167.4,73.33,92.9507,117.2,706.688,720.011,648.846,1389.4,1652.16
140.1,13.63,127.8,83.18,90.3181,112.456,396.289,414.82,97.2423,46.28,361.16
